nullrtA1c20,rtA1c21,rtA1c22,rtA1c23,rtA1c24,rtA1c25,rtA1c26,rtA1c27,rtA1c28,rtA1c29,rtA1c210,rtA1c211,rtA1c212,rtA1c213,rtA1c214,rtA1c215,rtA1c216,rtA1c217,rtA1c218,rtA1c219,rtA1c220,rtA1c221,rtA1c222,rtA1c223,rtA1c224,rtA1c225,rtA1c226,rtA1c227,rtA1c228,rtA1c229,rtA1c230,rtA1c231,rtA1c232,rtA1c233,rtA1c234,rtA1c235,rtA1c236,rtA1c237,rtA1c238,rtA1c239,rtA1c240,rtA1c241,rtA1c242,rtA1c243,rtA1c244,rtA1c245,rtA1c246,rtA1c247,rtA1c248,rtA1c249,rtA1c250,rtA1c251,rtA1c252,rtA1c253,rtA1c254,rtA1c255,rtA1c256,rtA1c257,rtA1c258,rtA1c259,rtA1c260,rtA1c261,rtA1c262,rtA1c263,rtA1c264,rtA1c265,rtA1c266,rtA1c267,rtA1c268,rtA1c269,rtA1c270,rtA1c271,rtA1c272,rtA1c273,rtA1c274,rtA1c275,rtA1c276,rtA1c277,rtA1c278,rtA1c279,rtA1c280,rtA1c281,rtA1c282,rtA1c283,rtA1c284,rtA1c285,rtA1c286,rtA1c287,rtA1c288,rtA1c289,rtA1c290,rtA1c291,rtA1c292,rtA1c293,rtA1c294,rtA1c295,rtA1c296,rtA1c297,rtA1c298,rtA1c299,rtA1c2100,rtA1c2101,rtA1c2102,rtA1c2103,rtA1c2104,rtA1c2105,rtA1c2106,rtA1c2107,rtA1c2108,rtA1c2109,rtA1c2110,rtA1c2111,rtA1c2112,rtA1c2113,rtA1c2114,rtA1c2115,rtA1c2116,rtA1c2117,rtA1c2118,rtA1c2119,rtA1c2120,rtA1c2121,rtA1c2122,rtA1c2123,rtA1c2124,rtA1c2125,rtA1c2126,rtA1c2127,rtA1c2128,rtA1c2129,rtA1c2130,rtA1c2131,rtA1c2132,rtA1c2133,rtA1c2134,rtA1c2135,rtA1c2136,rtA1c2137,rtA1c2138,rtA1c2139,rtA1c2140,rtA1c2141,rtA1c2142,rtA1c2143,rtA1c2144,rtA1c2145,rtA1c2146,rtA1c2147,rtA1c2148,rtA1c2149,rtA1c2150,rtA1c2151,rtA1c2152,rtA1c2153,rtA1c2154,rtA1c2155,rtA1c2156,rtA1c2157,rtA1c2158,rtA1c2159,rtA1c2160,rtA1c2161,rtA1c2162,rtA1c2163,rtA1c2164,rtA1c2165,rtA1c2166,rtA1c2167,rtA1c2168,rtA1c2169,rtA1c2170,rtA1c2171,rtA1c2172,rtA1c2173,rtA1c2174,rtA1c2175,rtA1c2176,rtA1c2177,rtA1c2178,rtA1c2179,rtA1c2180,rtA1c2181,rtA1c2182,rtA1c2183,rtA1c2184,rtA1c2185,rtA1c2186,rtA1c2187,rtA1c2188,rtA1c2189,rtA1c2190,rtA1c2191,rtA1c2192,rtA1c2193,rtA1c2194,rtA1c2195,rtA1c2196,rtA1c2197,rtA1c2198,rtA1c2199,rtA1c2200,rtA1c2201,rtA1c2202,rtA1c2203,rtA1c2204,rtA1c2205,rtA1c2206,rtA1c2207,rtA1c2208,rtA1c2209,rtA1c2210,rtA1c2211,rtA1c2212,rtA1c2213,rtA1c2214,rtA1c2215,rtA1c2216,rtA1c2217,rtA1c2218,rtA1c2219,rtA1c2220,rtA1c2221,rtA1c2222,rtA1c2223,rtA1c2224,rtA1c2225,rtA1c2226,rtA1c2227,rtA1c2228,rtA1c2229,rtA1c2230,rtA1c2231,rtA1c2232,rtA1c2233,rtA1c2234,rtA1c2235,rtA1c2236,rtA1c2237,rtA1c2238,rtA1c2239,rtA1c2240,rtA1c2241,rtA1c2242,rtA1c2243,rtA1c2244,rtA1c2245,rtA1c2246,rtA1c2247,rtA1c2248,rtA1c2249,rtA1c2250,rtA1c2251,rtA1c2252,rtA1c2253,rtA1c2254,rtA1c2255,rtA1c2256,rtA1c2257,rtA1c2258,rtA1c2259,rtA1c2260,rtA1c2261,rtA1c2262,rtA1c2263,rtA1c2264,rtA1c2265,rtA1c2266,rtA1c2267,rtA1c2268,rtA1c2269,rtA1c2270,rtA1c2271,rtA1c2272,rtA1c2273,rtA1c2274,rtA1c2275,rtA1c2276,rtA1c2277,rtA1c2278,rtA1c2279,rtA1c2280,rtA1c2281,rtA1c2282,rtA1c2283,rtA1c2284,rtA1c2285,rtA1c2286,rtA1c2287,rtA1c2288,rtA1c2289,rtA1c2290,rtA1c2291,rtA1c2292,rtA1c2293,rtA1c2294,rtA1c2295,rtA1c2296,rtA1c2297,rtA1c2298,rtA1c2299,rtA1c2300
0,539,3673,9541,9642,9742,9842,9941,9961,9963,9964,9965,9965,3822,9965,9965,9965,9965,9965,9965,9965,9966,9966,9971,3972,9972,9972,9973,9973,9973,9973,9973,9974,9974,9975,4123,9975,9975,9975,9975,9975,9977,9977,9977,9977,9977,4272,9977,9977,9977,9977,9977,9977,9977,9977,9977,9977,4422,9977,9978,9979,9979,9979,9980,9980,10056,10258,10458,4572,10656,10856,11059,11278,11501,11721,11949,12176,12400,12616,4722,12737,12838,12937,13040,13140,13405,13633,13733,13878,14080,4872,14280,14481,14610,14708,14709,14709,14709,14709,14709,14709,5023,14709,14918,15079,15160,15174,15246,15372,15495,15581,15661,989,5172,15862,16064,16262,16464,16662,16864,16880,16880,16897,16997,5323,17098,17201,17328,17528,17728,17930,18130,18330,18456,18556,5472,18657,18757,18778,18778,18778,18778,18778,18778,18778,18780,5623,18780,18780,18780,18780,18780,18823,20061,21563,22977,24376,5773,25762,27192,28627,30077,31623,33117,34522,35894,37322,38754,5886,40175,41391,42034,42495,42802,43102,43403,43703,44005,45502,5986,47002,48516,50016,51516,53001,54501,56001,57423,58790,60092,6087,60591,61094,61594,62094,62594,63089,63612,64214,64814,65420,6187,66014,66614,67214,67820,68414,69014,69556,70052,70557,71061,6287,71561,72056,72571,72978,73378,73721,74022,74319,74622,74919,1434,6388,75222,6487,6587,6688,6788,6888,6988,7088,7187,7287,1884,7387,7488,7588,7688,7787,7887,7987,8087,8187,8287,2338,8357,8357,8357,8358,8358,8358,8358,8358,8358,8358,2557,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,2855,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,3157,8376,8376,8376,8376,8376,8377,8377,8377,8377,8377,3455,8377,8514,8663,8813,8943,9043,9142,9242,9342,9441
0,539,3673,9541,9642,9742,9842,9941,9961,9963,9964,9965,9965,3822,9965,9965,9965,9965,9965,9965,9965,9966,9966,9971,3972,9972,9972,9973,9973,9973,9973,9973,9974,9974,9975,4123,9975,9975,9975,9975,9975,9977,9977,9977,9977,9977,4272,9977,9977,9977,9977,9977,9977,9977,9977,9977,9977,4422,9977,9978,9979,9979,9979,9980,9980,10056,10258,10458,4572,10656,10856,11059,11278,11501,11721,11949,12176,12400,12616,4722,12737,12838,12937,13040,13140,13405,13633,13733,13878,14080,4872,14280,14481,14610,14708,14709,14709,14709,14709,14709,14709,5023,14709,14918,15079,15160,15174,15246,15372,15495,15581,15661,989,5172,15862,16064,16262,16464,16662,16864,16880,16880,16897,16997,5323,17098,17201,17328,17528,17728,17930,18130,18330,18456,18556,5472,18657,18757,18778,18778,18778,18778,18778,18778,18778,18780,5623,18780,18780,18780,18780,18780,18823,20061,21563,22977,24376,5773,25762,27192,28627,30077,31623,33117,34522,35894,37322,38754,5886,40175,41391,42034,42495,42802,43102,43403,43703,44005,45502,5986,47002,48516,50016,51516,53001,54501,56001,57423,58790,60092,6087,60591,61094,61594,62094,62594,63089,63612,64214,64814,65420,6187,66014,66614,67214,67820,68414,69014,69556,70052,70557,71061,6287,71561,72056,72571,72978,73378,73721,74022,74319,74622,74919,1434,6388,75222,6487,6587,6688,6788,6888,6988,7088,7187,7287,1884,7387,7488,7588,7688,7787,7887,7987,8087,8187,8287,2338,8357,8357,8357,8358,8358,8358,8358,8358,8358,8358,2557,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,2855,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,3157,8376,8376,8376,8376,8376,8377,8377,8377,8377,8377,3455,8377,8514,8663,8813,8943,9043,9142,9242,9342,9441
0,539,3673,9541,9642,9742,9842,9941,9961,9963,9964,9965,9965,3822,9965,9965,9965,9965,9965,9965,9965,9966,9966,9971,3972,9972,9972,9973,9973,9973,9973,9973,9974,9974,9975,4123,9975,9975,9975,9975,9975,9977,9977,9977,9977,9977,4272,9977,9977,9977,9977,9977,9977,9977,9977,9977,9977,4422,9977,9978,9979,9979,9979,9980,9980,10056,10258,10458,4572,10656,10856,11059,11278,11501,11721,11949,12176,12400,12616,4722,12737,12838,12937,13040,13140,13405,13633,13733,13878,14080,4872,14280,14481,14610,14708,14709,14709,14709,14709,14709,14709,5023,14709,14918,15079,15160,15174,15246,15372,15495,15581,15661,989,5172,15862,16064,16262,16464,16662,16864,16880,16880,16897,16997,5323,17098,17201,17328,17528,17728,17930,18130,18330,18456,18556,5472,18657,18757,18778,18778,18778,18778,18778,18778,18778,18780,5623,18780,18780,18780,18780,18780,18823,20061,21563,22977,24376,5773,25762,27192,28627,30077,31623,33117,34522,35894,37322,38754,5886,40175,41391,42034,42495,42802,43102,43403,43703,44005,45502,5986,47002,48516,50016,51516,53001,54501,56001,57423,58790,60092,6087,60591,61094,61594,62094,62594,63089,63612,64214,64814,65420,6187,66014,66614,67214,67820,68414,69014,69556,70052,70557,71061,6287,71561,72056,72571,72978,73378,73721,74022,74319,74622,74919,1434,6388,75222,6487,6587,6688,6788,6888,6988,7088,7187,7287,1884,7387,7488,7588,7688,7787,7887,7987,8087,8187,8287,2338,8357,8357,8357,8358,8358,8358,8358,8358,8358,8358,2557,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,2855,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,3157,8376,8376,8376,8376,8376,8377,8377,8377,8377,8377,3455,8377,8514,8663,8813,8943,9043,9142,9242,9342,9441
0,539,3673,9541,9642,9742,9842,9941,9961,9963,9964,9965,9965,3822,9965,9965,9965,9965,9965,9965,9965,9966,9966,9971,3972,9972,9972,9973,9973,9973,9973,9973,9974,9974,9975,4123,9975,9975,9975,9975,9975,9977,9977,9977,9977,9977,4272,9977,9977,9977,9977,9977,9977,9977,9977,9977,9977,4422,9977,9978,9979,9979,9979,9980,9980,10056,10258,10458,4572,10656,10856,11059,11278,11501,11721,11949,12176,12400,12616,4722,12737,12838,12937,13040,13140,13405,13633,13733,13878,14080,4872,14280,14481,14610,14708,14709,14709,14709,14709,14709,14709,5023,14709,14918,15079,15160,15174,15246,15372,15495,15581,15661,989,5172,15862,16064,16262,16464,16662,16864,16880,16880,16897,16997,5323,17098,17201,17328,17528,17728,17930,18130,18330,18456,18556,5472,18657,18757,18778,18778,18778,18778,18778,18778,18778,18780,5623,18780,18780,18780,18780,18780,18823,20061,21563,22977,24376,5773,25762,27192,28627,30077,31623,33117,34522,35894,37322,38754,5886,40175,41391,42034,42495,42802,43102,43403,43703,44005,45502,5986,47002,48516,50016,51516,53001,54501,56001,57423,58790,60092,6087,60591,61094,61594,62094,62594,63089,63612,64214,64814,65420,6187,66014,66614,67214,67820,68414,69014,69556,70052,70557,71061,6287,71561,72056,72571,72978,73378,73721,74022,74319,74622,74919,1434,6388,75222,6487,6587,6688,6788,6888,6988,7088,7187,7287,1884,7387,7488,7588,7688,7787,7887,7987,8087,8187,8287,2338,8357,8357,8357,8358,8358,8358,8358,8358,8358,8358,2557,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,2855,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,3157,8376,8376,8376,8376,8376,8377,8377,8377,8377,8377,3455,8377,8514,8663,8813,8943,9043,9142,9242,9342,9441
0,539,3673,9541,9642,9742,9842,9941,9961,9963,9964,9965,9965,3822,9965,9965,9965,9965,9965,9965,9965,9966,9966,9971,3972,9972,9972,9973,9973,9973,9973,9973,9974,9974,9975,4123,9975,9975,9975,9975,9975,9977,9977,9977,9977,9977,4272,9977,9977,9977,9977,9977,9977,9977,9977,9977,9977,4422,9977,9978,9979,9979,9979,9980,9980,10056,10258,10458,4572,10656,10856,11059,11278,11501,11721,11949,12176,12400,12616,4722,12737,12838,12937,13040,13140,13405,13633,13733,13878,14080,4872,14280,14481,14610,14708,14709,14709,14709,14709,14709,14709,5023,14709,14918,15079,15160,15174,15246,15372,15495,15581,15661,989,5172,15862,16064,16262,16464,16662,16864,16880,16880,16897,16997,5323,17098,17201,17328,17528,17728,17930,18130,18330,18456,18556,5472,18657,18757,18778,18778,18778,18778,18778,18778,18778,18780,5623,18780,18780,18780,18780,18780,18823,20061,21563,22977,24376,5773,25762,27192,28627,30077,31623,33117,34522,35894,37322,38754,5886,40175,41391,42034,42495,42802,43102,43403,43703,44005,45502,5986,47002,48516,50016,51516,53001,54501,56001,57423,58790,60092,6087,60591,61094,61594,62094,62594,63089,63612,64214,64814,65420,6187,66014,66614,67214,67820,68414,69014,69556,70052,70557,71061,6287,71561,72056,72571,72978,73378,73721,74022,74319,74622,74919,1434,6388,75222,6487,6587,6688,6788,6888,6988,7088,7187,7287,1884,7387,7488,7588,7688,7787,7887,7987,8087,8187,8287,2338,8357,8357,8357,8358,8358,8358,8358,8358,8358,8358,2557,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,2855,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,3157,8376,8376,8376,8376,8376,8377,8377,8377,8377,8377,3455,8377,8514,8663,8813,8943,9043,9142,9242,9342,9441
0,539,3673,9541,9642,9742,9842,9941,9961,9963,9964,9965,9965,3822,9965,9965,9965,9965,9965,9965,9965,9966,9966,9971,3972,9972,9972,9973,9973,9973,9973,9973,9974,9974,9975,4123,9975,9975,9975,9975,9975,9977,9977,9977,9977,9977,4272,9977,9977,9977,9977,9977,9977,9977,9977,9977,9977,4422,9977,9978,9979,9979,9979,9980,9980,10056,10258,10458,4572,10656,10856,11059,11278,11501,11721,11949,12176,12400,12616,4722,12737,12838,12937,13040,13140,13405,13633,13733,13878,14080,4872,14280,14481,14610,14708,14709,14709,14709,14709,14709,14709,5023,14709,14918,15079,15160,15174,15246,15372,15495,15581,15661,989,5172,15862,16064,16262,16464,16662,16864,16880,16880,16897,16997,5323,17098,17201,17328,17528,17728,17930,18130,18330,18456,18556,5472,18657,18757,18778,18778,18778,18778,18778,18778,18778,18780,5623,18780,18780,18780,18780,18780,18823,20061,21563,22977,24376,5773,25762,27192,28627,30077,31623,33117,34522,35894,37322,38754,5886,40175,41391,42034,42495,42802,43102,43403,43703,44005,45502,5986,47002,48516,50016,51516,53001,54501,56001,57423,58790,60092,6087,60591,61094,61594,62094,62594,63089,63612,64214,64814,65420,6187,66014,66614,67214,67820,68414,69014,69556,70052,70557,71061,6287,71561,72056,72571,72978,73378,73721,74022,74319,74622,74919,1434,6388,75222,6487,6587,6688,6788,6888,6988,7088,7187,7287,1884,7387,7488,7588,7688,7787,7887,7987,8087,8187,8287,2338,8357,8357,8357,8358,8358,8358,8358,8358,8358,8358,2557,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,2855,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,3157,8376,8376,8376,8376,8376,8377,8377,8377,8377,8377,3455,8377,8514,8663,8813,8943,9043,9142,9242,9342,9441
0,539,3673,9541,9642,9742,9842,9941,9961,9963,9964,9965,9965,3822,9965,9965,9965,9965,9965,9965,9965,9966,9966,9971,3972,9972,9972,9973,9973,9973,9973,9973,9974,9974,9975,4123,9975,9975,9975,9975,9975,9977,9977,9977,9977,9977,4272,9977,9977,9977,9977,9977,9977,9977,9977,9977,9977,4422,9977,9978,9979,9979,9979,9980,9980,10056,10258,10458,4572,10656,10856,11059,11278,11501,11721,11949,12176,12400,12616,4722,12737,12838,12937,13040,13140,13405,13633,13733,13878,14080,4872,14280,14481,14610,14708,14709,14709,14709,14709,14709,14709,5023,14709,14918,15079,15160,15174,15246,15372,15495,15581,15661,989,5172,15862,16064,16262,16464,16662,16864,16880,16880,16897,16997,5323,17098,17201,17328,17528,17728,17930,18130,18330,18456,18556,5472,18657,18757,18778,18778,18778,18778,18778,18778,18778,18780,5623,18780,18780,18780,18780,18780,18823,20061,21563,22977,24376,5773,25762,27192,28627,30077,31623,33117,34522,35894,37322,38754,5886,40175,41391,42034,42495,42802,43102,43403,43703,44005,45502,5986,47002,48516,50016,51516,53001,54501,56001,57423,58790,60092,6087,60591,61094,61594,62094,62594,63089,63612,64214,64814,65420,6187,66014,66614,67214,67820,68414,69014,69556,70052,70557,71061,6287,71561,72056,72571,72978,73378,73721,74022,74319,74622,74919,1434,6388,75222,6487,6587,6688,6788,6888,6988,7088,7187,7287,1884,7387,7488,7588,7688,7787,7887,7987,8087,8187,8287,2338,8357,8357,8357,8358,8358,8358,8358,8358,8358,8358,2557,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,2855,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,3157,8376,8376,8376,8376,8376,8377,8377,8377,8377,8377,3455,8377,8514,8663,8813,8943,9043,9142,9242,9342,9441
0,539,3673,9541,9642,9742,9842,9941,9961,9963,9964,9965,9965,3822,9965,9965,9965,9965,9965,9965,9965,9966,9966,9971,3972,9972,9972,9973,9973,9973,9973,9973,9974,9974,9975,4123,9975,9975,9975,9975,9975,9977,9977,9977,9977,9977,4272,9977,9977,9977,9977,9977,9977,9977,9977,9977,9977,4422,9977,9978,9979,9979,9979,9980,9980,10056,10258,10458,4572,10656,10856,11059,11278,11501,11721,11949,12176,12400,12616,4722,12737,12838,12937,13040,13140,13405,13633,13733,13878,14080,4872,14280,14481,14610,14708,14709,14709,14709,14709,14709,14709,5023,14709,14918,15079,15160,15174,15246,15372,15495,15581,15661,989,5172,15862,16064,16262,16464,16662,16864,16880,16880,16897,16997,5323,17098,17201,17328,17528,17728,17930,18130,18330,18456,18556,5472,18657,18757,18778,18778,18778,18778,18778,18778,18778,18780,5623,18780,18780,18780,18780,18780,18823,20061,21563,22977,24376,5773,25762,27192,28627,30077,31623,33117,34522,35894,37322,38754,5886,40175,41391,42034,42495,42802,43102,43403,43703,44005,45502,5986,47002,48516,50016,51516,53001,54501,56001,57423,58790,60092,6087,60591,61094,61594,62094,62594,63089,63612,64214,64814,65420,6187,66014,66614,67214,67820,68414,69014,69556,70052,70557,71061,6287,71561,72056,72571,72978,73378,73721,74022,74319,74622,74919,1434,6388,75222,6487,6587,6688,6788,6888,6988,7088,7187,7287,1884,7387,7488,7588,7688,7787,7887,7987,8087,8187,8287,2338,8357,8357,8357,8358,8358,8358,8358,8358,8358,8358,2557,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,2855,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,3157,8376,8376,8376,8376,8376,8377,8377,8377,8377,8377,3455,8377,8514,8663,8813,8943,9043,9142,9242,9342,9441
0,539,3673,9541,9642,9742,9842,9941,9961,9963,9964,9965,9965,3822,9965,9965,9965,9965,9965,9965,9965,9966,9966,9971,3972,9972,9972,9973,9973,9973,9973,9973,9974,9974,9975,4123,9975,9975,9975,9975,9975,9977,9977,9977,9977,9977,4272,9977,9977,9977,9977,9977,9977,9977,9977,9977,9977,4422,9977,9978,9979,9979,9979,9980,9980,10056,10258,10458,4572,10656,10856,11059,11278,11501,11721,11949,12176,12400,12616,4722,12737,12838,12937,13040,13140,13405,13633,13733,13878,14080,4872,14280,14481,14610,14708,14709,14709,14709,14709,14709,14709,5023,14709,14918,15079,15160,15174,15246,15372,15495,15581,15661,989,5172,15862,16064,16262,16464,16662,16864,16880,16880,16897,16997,5323,17098,17201,17328,17528,17728,17930,18130,18330,18456,18556,5472,18657,18757,18778,18778,18778,18778,18778,18778,18778,18780,5623,18780,18780,18780,18780,18780,18823,20061,21563,22977,24376,5773,25762,27192,28627,30077,31623,33117,34522,35894,37322,38754,5886,40175,41391,42034,42495,42802,43102,43403,43703,44005,45502,5986,47002,48516,50016,51516,53001,54501,56001,57423,58790,60092,6087,60591,61094,61594,62094,62594,63089,63612,64214,64814,65420,6187,66014,66614,67214,67820,68414,69014,69556,70052,70557,71061,6287,71561,72056,72571,72978,73378,73721,74022,74319,74622,74919,1434,6388,75222,6487,6587,6688,6788,6888,6988,7088,7187,7287,1884,7387,7488,7588,7688,7787,7887,7987,8087,8187,8287,2338,8357,8357,8357,8358,8358,8358,8358,8358,8358,8358,2557,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,2855,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,3157,8376,8376,8376,8376,8376,8377,8377,8377,8377,8377,3455,8377,8514,8663,8813,8943,9043,9142,9242,9342,9441
0,539,3673,9541,9642,9742,9842,9941,9961,9963,9964,9965,9965,3822,9965,9965,9965,9965,9965,9965,9965,9966,9966,9971,3972,9972,9972,9973,9973,9973,9973,9973,9974,9974,9975,4123,9975,9975,9975,9975,9975,9977,9977,9977,9977,9977,4272,9977,9977,9977,9977,9977,9977,9977,9977,9977,9977,4422,9977,9978,9979,9979,9979,9980,9980,10056,10258,10458,4572,10656,10856,11059,11278,11501,11721,11949,12176,12400,12616,4722,12737,12838,12937,13040,13140,13405,13633,13733,13878,14080,4872,14280,14481,14610,14708,14709,14709,14709,14709,14709,14709,5023,14709,14918,15079,15160,15174,15246,15372,15495,15581,15661,989,5172,15862,16064,16262,16464,16662,16864,16880,16880,16897,16997,5323,17098,17201,17328,17528,17728,17930,18130,18330,18456,18556,5472,18657,18757,18778,18778,18778,18778,18778,18778,18778,18780,5623,18780,18780,18780,18780,18780,18823,20061,21563,22977,24376,5773,25762,27192,28627,30077,31623,33117,34522,35894,37322,38754,5886,40175,41391,42034,42495,42802,43102,43403,43703,44005,45502,5986,47002,48516,50016,51516,53001,54501,56001,57423,58790,60092,6087,60591,61094,61594,62094,62594,63089,63612,64214,64814,65420,6187,66014,66614,67214,67820,68414,69014,69556,70052,70557,71061,6287,71561,72056,72571,72978,73378,73721,74022,74319,74622,74919,1434,6388,75222,6487,6587,6688,6788,6888,6988,7088,7187,7287,1884,7387,7488,7588,7688,7787,7887,7987,8087,8187,8287,2338,8357,8357,8357,8358,8358,8358,8358,8358,8358,8358,2557,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,2855,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,3157,8376,8376,8376,8376,8376,8377,8377,8377,8377,8377,3455,8377,8514,8663,8813,8943,9043,9142,9242,9342,9441
0,539,3673,9541,9642,9742,9842,9941,9961,9963,9964,9965,9965,3822,9965,9965,9965,9965,9965,9965,9965,9966,9966,9971,3972,9972,9972,9973,9973,9973,9973,9973,9974,9974,9975,4123,9975,9975,9975,9975,9975,9977,9977,9977,9977,9977,4272,9977,9977,9977,9977,9977,9977,9977,9977,9977,9977,4422,9977,9978,9979,9979,9979,9980,9980,10056,10258,10458,4572,10656,10856,11059,11278,11501,11721,11949,12176,12400,12616,4722,12737,12838,12937,13040,13140,13405,13633,13733,13878,14080,4872,14280,14481,14610,14708,14709,14709,14709,14709,14709,14709,5023,14709,14918,15079,15160,15174,15246,15372,15495,15581,15661,989,5172,15862,16064,16262,16464,16662,16864,16880,16880,16897,16997,5323,17098,17201,17328,17528,17728,17930,18130,18330,18456,18556,5472,18657,18757,18778,18778,18778,18778,18778,18778,18778,18780,5623,18780,18780,18780,18780,18780,18823,20061,21563,22977,24376,5773,25762,27192,28627,30077,31623,33117,34522,35894,37322,38754,5886,40175,41391,42034,42495,42802,43102,43403,43703,44005,45502,5986,47002,48516,50016,51516,53001,54501,56001,57423,58790,60092,6087,60591,61094,61594,62094,62594,63089,63612,64214,64814,65420,6187,66014,66614,67214,67820,68414,69014,69556,70052,70557,71061,6287,71561,72056,72571,72978,73378,73721,74022,74319,74622,74919,1434,6388,75222,6487,6587,6688,6788,6888,6988,7088,7187,7287,1884,7387,7488,7588,7688,7787,7887,7987,8087,8187,8287,2338,8357,8357,8357,8358,8358,8358,8358,8358,8358,8358,2557,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,2855,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,3157,8376,8376,8376,8376,8376,8377,8377,8377,8377,8377,3455,8377,8514,8663,8813,8943,9043,9142,9242,9342,9441
0,539,3673,9541,9642,9742,9842,9941,9961,9963,9964,9965,9965,3822,9965,9965,9965,9965,9965,9965,9965,9966,9966,9971,3972,9972,9972,9973,9973,9973,9973,9973,9974,9974,9975,4123,9975,9975,9975,9975,9975,9977,9977,9977,9977,9977,4272,9977,9977,9977,9977,9977,9977,9977,9977,9977,9977,4422,9977,9978,9979,9979,9979,9980,9980,10056,10258,10458,4572,10656,10856,11059,11278,11501,11721,11949,12176,12400,12616,4722,12737,12838,12937,13040,13140,13405,13633,13733,13878,14080,4872,14280,14481,14610,14708,14709,14709,14709,14709,14709,14709,5023,14709,14918,15079,15160,15174,15246,15372,15495,15581,15661,989,5172,15862,16064,16262,16464,16662,16864,16880,16880,16897,16997,5323,17098,17201,17328,17528,17728,17930,18130,18330,18456,18556,5472,18657,18757,18778,18778,18778,18778,18778,18778,18778,18780,5623,18780,18780,18780,18780,18780,18823,20061,21563,22977,24376,5773,25762,27192,28627,30077,31623,33117,34522,35894,37322,38754,5886,40175,41391,42034,42495,42802,43102,43403,43703,44005,45502,5986,47002,48516,50016,51516,53001,54501,56001,57423,58790,60092,6087,60591,61094,61594,62094,62594,63089,63612,64214,64814,65420,6187,66014,66614,67214,67820,68414,69014,69556,70052,70557,71061,6287,71561,72056,72571,72978,73378,73721,74022,74319,74622,74919,1434,6388,75222,6487,6587,6688,6788,6888,6988,7088,7187,7287,1884,7387,7488,7588,7688,7787,7887,7987,8087,8187,8287,2338,8357,8357,8357,8358,8358,8358,8358,8358,8358,8358,2557,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,2855,8358,8358,8358,8358,8358,8358,8358,8358,8358,8358,3157,8376,8376,8376,8376,8376,8377,8377,8377,8377,8377,3455,8377,8514,8663,8813,8943,9043,9142,9242,9342,9441
