nullrtA2a3B0,rtA2a3B1,rtA2a3B2,rtA2a3B3,rtA2a3B4,rtA2a3B5,rtA2a3B6,rtA2a3B7,rtA2a3B8,rtA2a3B9,rtA2a3B10,rtA2a3B11,rtA2a3B12,rtA2a3B13,rtA2a3B14,rtA2a3B15,rtA2a3B16,rtA2a3B17,rtA2a3B18,rtA2a3B19,rtA2a3B20,rtA2a3B21,rtA2a3B22,rtA2a3B23,rtA2a3B24,rtA2a3B25,rtA2a3B26,rtA2a3B27,rtA2a3B28,rtA2a3B29,rtA2a3B30,rtA2a3B31,rtA2a3B32,rtA2a3B33,rtA2a3B34,rtA2a3B35,rtA2a3B36,rtA2a3B37,rtA2a3B38,rtA2a3B39,rtA2a3B40,rtA2a3B41,rtA2a3B42,rtA2a3B43,rtA2a3B44,rtA2a3B45,rtA2a3B46,rtA2a3B47,rtA2a3B48,rtA2a3B49,rtA2a3B50,rtA2a3B51,rtA2a3B52,rtA2a3B53,rtA2a3B54,rtA2a3B55,rtA2a3B56,rtA2a3B57,rtA2a3B58,rtA2a3B59,rtA2a3B60,rtA2a3B61,rtA2a3B62,rtA2a3B63,rtA2a3B64,rtA2a3B65,rtA2a3B66,rtA2a3B67,rtA2a3B68,rtA2a3B69,rtA2a3B70,rtA2a3B71,rtA2a3B72,rtA2a3B73,rtA2a3B74,rtA2a3B75,rtA2a3B76,rtA2a3B77,rtA2a3B78,rtA2a3B79,rtA2a3B80,rtA2a3B81,rtA2a3B82,rtA2a3B83,rtA2a3B84,rtA2a3B85,rtA2a3B86,rtA2a3B87,rtA2a3B88,rtA2a3B89,rtA2a3B90,rtA2a3B91,rtA2a3B92,rtA2a3B93,rtA2a3B94,rtA2a3B95,rtA2a3B96,rtA2a3B97,rtA2a3B98,rtA2a3B99,rtA2a3B100,rtA2a3B101,rtA2a3B102,rtA2a3B103,rtA2a3B104,rtA2a3B105,rtA2a3B106,rtA2a3B107,rtA2a3B108,rtA2a3B109,rtA2a3B110,rtA2a3B111,rtA2a3B112,rtA2a3B113,rtA2a3B114,rtA2a3B115,rtA2a3B116,rtA2a3B117,rtA2a3B118,rtA2a3B119,rtA2a3B120,rtA2a3B121,rtA2a3B122,rtA2a3B123,rtA2a3B124,rtA2a3B125,rtA2a3B126,rtA2a3B127,rtA2a3B128,rtA2a3B129,rtA2a3B130,rtA2a3B131,rtA2a3B132,rtA2a3B133,rtA2a3B134,rtA2a3B135,rtA2a3B136,rtA2a3B137,rtA2a3B138,rtA2a3B139,rtA2a3B140,rtA2a3B141,rtA2a3B142,rtA2a3B143,rtA2a3B144,rtA2a3B145,rtA2a3B146,rtA2a3B147,rtA2a3B148,rtA2a3B149,rtA2a3B150,rtA2a3B151,rtA2a3B152,rtA2a3B153,rtA2a3B154,rtA2a3B155,rtA2a3B156,rtA2a3B157,rtA2a3B158,rtA2a3B159,rtA2a3B160,rtA2a3B161,rtA2a3B162,rtA2a3B163,rtA2a3B164,rtA2a3B165,rtA2a3B166,rtA2a3B167,rtA2a3B168,rtA2a3B169,rtA2a3B170,rtA2a3B171,rtA2a3B172,rtA2a3B173,rtA2a3B174,rtA2a3B175,rtA2a3B176,rtA2a3B177,rtA2a3B178,rtA2a3B179,rtA2a3B180,rtA2a3B181,rtA2a3B182,rtA2a3B183,rtA2a3B184,rtA2a3B185,rtA2a3B186,rtA2a3B187,rtA2a3B188,rtA2a3B189,rtA2a3B190,rtA2a3B191,rtA2a3B192,rtA2a3B193,rtA2a3B194,rtA2a3B195,rtA2a3B196,rtA2a3B197,rtA2a3B198,rtA2a3B199,rtA2a3B200,rtA2a3B201,rtA2a3B202,rtA2a3B203,rtA2a3B204,rtA2a3B205,rtA2a3B206,rtA2a3B207,rtA2a3B208,rtA2a3B209,rtA2a3B210,rtA2a3B211,rtA2a3B212,rtA2a3B213,rtA2a3B214,rtA2a3B215,rtA2a3B216,rtA2a3B217,rtA2a3B218,rtA2a3B219,rtA2a3B220,rtA2a3B221,rtA2a3B222,rtA2a3B223,rtA2a3B224,rtA2a3B225,rtA2a3B226,rtA2a3B227,rtA2a3B228,rtA2a3B229,rtA2a3B230,rtA2a3B231,rtA2a3B232,rtA2a3B233,rtA2a3B234,rtA2a3B235,rtA2a3B236,rtA2a3B237,rtA2a3B238,rtA2a3B239,rtA2a3B240,rtA2a3B241,rtA2a3B242,rtA2a3B243,rtA2a3B244,rtA2a3B245,rtA2a3B246,rtA2a3B247,rtA2a3B248,rtA2a3B249,rtA2a3B250,rtA2a3B251,rtA2a3B252,rtA2a3B253,rtA2a3B254,rtA2a3B255,rtA2a3B256,rtA2a3B257,rtA2a3B258,rtA2a3B259,rtA2a3B260,rtA2a3B261,rtA2a3B262,rtA2a3B263,rtA2a3B264,rtA2a3B265,rtA2a3B266,rtA2a3B267,rtA2a3B268,rtA2a3B269,rtA2a3B270,rtA2a3B271,rtA2a3B272,rtA2a3B273,rtA2a3B274,rtA2a3B275,rtA2a3B276,rtA2a3B277,rtA2a3B278,rtA2a3B279,rtA2a3B280,rtA2a3B281,rtA2a3B282,rtA2a3B283,rtA2a3B284,rtA2a3B285,rtA2a3B286,rtA2a3B287,rtA2a3B288,rtA2a3B289,rtA2a3B290,rtA2a3B291,rtA2a3B292,rtA2a3B293,rtA2a3B294,rtA2a3B295,rtA2a3B296,rtA2a3B297,rtA2a3B298,rtA2a3B299,rtA2a3B300
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,665,679,679,686,686,687,687,689,689,698,1,701,702,702,703,705,705,706,708,709,711,1,711,712,714,715,717,719,719,721,721,723,1,724,725,728,728,731,731,735,735,737,738,2,738,738,741,743,745,746,747,748,749,750,0,2,750,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,665,679,679,686,686,687,687,689,689,698,1,701,702,702,703,705,705,706,708,709,711,1,711,712,714,715,717,719,719,721,721,723,1,724,725,728,728,731,731,735,735,737,738,2,738,738,741,743,745,746,747,748,749,750,0,2,750,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,665,679,679,686,686,687,687,689,689,698,1,701,702,702,703,705,705,706,708,709,711,1,711,712,714,715,717,719,719,721,721,723,1,724,725,728,728,731,731,735,735,737,738,2,738,738,741,743,745,746,747,748,749,750,0,2,750,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,665,679,679,686,686,687,687,689,689,698,1,701,702,702,703,705,705,706,708,709,711,1,711,712,714,715,717,719,719,721,721,723,1,724,725,728,728,731,731,735,735,737,738,2,738,738,741,743,745,746,747,748,749,750,0,2,750,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,665,679,679,686,686,687,687,689,689,698,1,701,702,702,703,705,705,706,708,709,711,1,711,712,714,715,717,719,719,721,721,723,1,724,725,728,728,731,731,735,735,737,738,2,738,738,741,743,745,746,747,748,749,750,0,2,750,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,665,679,679,686,686,687,687,689,689,698,1,701,702,702,703,705,705,706,708,709,711,1,711,712,714,715,717,719,719,721,721,723,1,724,725,728,728,731,731,735,735,737,738,2,738,738,741,743,745,746,747,748,749,750,0,2,750,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,665,679,679,686,686,687,687,689,689,698,1,701,702,702,703,705,705,706,708,709,711,1,711,712,714,715,717,719,719,721,721,723,1,724,725,728,728,731,731,735,735,737,738,2,738,738,741,743,745,746,747,748,749,750,0,2,750,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,665,679,679,686,686,687,687,689,689,698,1,701,702,702,703,705,705,706,708,709,711,1,711,712,714,715,717,719,719,721,721,723,1,724,725,728,728,731,731,735,735,737,738,2,738,738,741,743,745,746,747,748,749,750,0,2,750,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,665,679,679,686,686,687,687,689,689,698,1,701,702,702,703,705,705,706,708,709,711,1,711,712,714,715,717,719,719,721,721,723,1,724,725,728,728,731,731,735,735,737,738,2,738,738,741,743,745,746,747,748,749,750,0,2,750,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,665,679,679,686,686,687,687,689,689,698,1,701,702,702,703,705,705,706,708,709,711,1,711,712,714,715,717,719,719,721,721,723,1,724,725,728,728,731,731,735,735,737,738,2,738,738,741,743,745,746,747,748,749,750,0,2,750,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,665,679,679,686,686,687,687,689,689,698,1,701,702,702,703,705,705,706,708,709,711,1,711,712,714,715,717,719,719,721,721,723,1,724,725,728,728,731,731,735,735,737,738,2,738,738,741,743,745,746,747,748,749,750,0,2,750,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,665,679,679,686,686,687,687,689,689,698,1,701,702,702,703,705,705,706,708,709,711,1,711,712,714,715,717,719,719,721,721,723,1,724,725,728,728,731,731,735,735,737,738,2,738,738,741,743,745,746,747,748,749,750,0,2,750,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,665,679,679,686,686,687,687,689,689,698,1,701,702,702,703,705,705,706,708,709,711,1,711,712,714,715,717,719,719,721,721,723,1,724,725,728,728,731,731,735,735,737,738,2,738,738,741,743,745,746,747,748,749,750,0,2,750,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,665,679,679,686,686,687,687,689,689,698,1,701,702,702,703,705,705,706,708,709,711,1,711,712,714,715,717,719,719,721,721,723,1,724,725,728,728,731,731,735,735,737,738,2,738,738,741,743,745,746,747,748,749,750,0,2,750,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,665,679,679,686,686,687,687,689,689,698,1,701,702,702,703,705,705,706,708,709,711,1,711,712,714,715,717,719,719,721,721,723,1,724,725,728,728,731,731,735,735,737,738,2,738,738,741,743,745,746,747,748,749,750,0,2,750,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,665,679,679,686,686,687,687,689,689,698,1,701,702,702,703,705,705,706,708,709,711,1,711,712,714,715,717,719,719,721,721,723,1,724,725,728,728,731,731,735,735,737,738,2,738,738,741,743,745,746,747,748,749,750,0,2,750,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,665,679,679,686,686,687,687,689,689,698,1,701,702,702,703,705,705,706,708,709,711,1,711,712,714,715,717,719,719,721,721,723,1,724,725,728,728,731,731,735,735,737,738,2,738,738,741,743,745,746,747,748,749,750,0,2,750,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,665,679,679,686,686,687,687,689,689,698,1,701,702,702,703,705,705,706,708,709,711,1,711,712,714,715,717,719,719,721,721,723,1,724,725,728,728,731,731,735,735,737,738,2,738,738,741,743,745,746,747,748,749,750,0,2,750,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
