nullrtA2b2A0,rtA2b2A1,rtA2b2A2,rtA2b2A3,rtA2b2A4,rtA2b2A5,rtA2b2A6,rtA2b2A7,rtA2b2A8,rtA2b2A9,rtA2b2A10,rtA2b2A11,rtA2b2A12,rtA2b2A13,rtA2b2A14,rtA2b2A15,rtA2b2A16,rtA2b2A17,rtA2b2A18,rtA2b2A19,rtA2b2A20,rtA2b2A21,rtA2b2A22,rtA2b2A23,rtA2b2A24,rtA2b2A25,rtA2b2A26,rtA2b2A27,rtA2b2A28,rtA2b2A29,rtA2b2A30,rtA2b2A31,rtA2b2A32,rtA2b2A33,rtA2b2A34,rtA2b2A35,rtA2b2A36,rtA2b2A37,rtA2b2A38,rtA2b2A39,rtA2b2A40,rtA2b2A41,rtA2b2A42,rtA2b2A43,rtA2b2A44,rtA2b2A45,rtA2b2A46,rtA2b2A47,rtA2b2A48,rtA2b2A49,rtA2b2A50,rtA2b2A51,rtA2b2A52,rtA2b2A53,rtA2b2A54,rtA2b2A55,rtA2b2A56,rtA2b2A57,rtA2b2A58,rtA2b2A59,rtA2b2A60,rtA2b2A61,rtA2b2A62,rtA2b2A63,rtA2b2A64,rtA2b2A65,rtA2b2A66,rtA2b2A67,rtA2b2A68,rtA2b2A69,rtA2b2A70,rtA2b2A71,rtA2b2A72,rtA2b2A73,rtA2b2A74,rtA2b2A75,rtA2b2A76,rtA2b2A77,rtA2b2A78,rtA2b2A79,rtA2b2A80,rtA2b2A81,rtA2b2A82,rtA2b2A83,rtA2b2A84,rtA2b2A85,rtA2b2A86,rtA2b2A87,rtA2b2A88,rtA2b2A89,rtA2b2A90,rtA2b2A91,rtA2b2A92,rtA2b2A93,rtA2b2A94,rtA2b2A95,rtA2b2A96,rtA2b2A97,rtA2b2A98,rtA2b2A99,rtA2b2A100,rtA2b2A101,rtA2b2A102,rtA2b2A103,rtA2b2A104,rtA2b2A105,rtA2b2A106,rtA2b2A107,rtA2b2A108,rtA2b2A109,rtA2b2A110,rtA2b2A111,rtA2b2A112,rtA2b2A113,rtA2b2A114,rtA2b2A115,rtA2b2A116,rtA2b2A117,rtA2b2A118,rtA2b2A119,rtA2b2A120,rtA2b2A121,rtA2b2A122,rtA2b2A123,rtA2b2A124,rtA2b2A125,rtA2b2A126,rtA2b2A127,rtA2b2A128,rtA2b2A129,rtA2b2A130,rtA2b2A131,rtA2b2A132,rtA2b2A133,rtA2b2A134,rtA2b2A135,rtA2b2A136,rtA2b2A137,rtA2b2A138,rtA2b2A139,rtA2b2A140,rtA2b2A141,rtA2b2A142,rtA2b2A143,rtA2b2A144,rtA2b2A145,rtA2b2A146,rtA2b2A147,rtA2b2A148,rtA2b2A149,rtA2b2A150,rtA2b2A151,rtA2b2A152,rtA2b2A153,rtA2b2A154,rtA2b2A155,rtA2b2A156,rtA2b2A157,rtA2b2A158,rtA2b2A159,rtA2b2A160,rtA2b2A161,rtA2b2A162,rtA2b2A163,rtA2b2A164,rtA2b2A165,rtA2b2A166,rtA2b2A167,rtA2b2A168,rtA2b2A169,rtA2b2A170,rtA2b2A171,rtA2b2A172,rtA2b2A173,rtA2b2A174,rtA2b2A175,rtA2b2A176,rtA2b2A177,rtA2b2A178,rtA2b2A179,rtA2b2A180,rtA2b2A181,rtA2b2A182,rtA2b2A183,rtA2b2A184,rtA2b2A185,rtA2b2A186,rtA2b2A187,rtA2b2A188,rtA2b2A189,rtA2b2A190,rtA2b2A191,rtA2b2A192,rtA2b2A193,rtA2b2A194,rtA2b2A195,rtA2b2A196,rtA2b2A197,rtA2b2A198,rtA2b2A199,rtA2b2A200,rtA2b2A201,rtA2b2A202,rtA2b2A203,rtA2b2A204,rtA2b2A205,rtA2b2A206,rtA2b2A207,rtA2b2A208,rtA2b2A209,rtA2b2A210,rtA2b2A211,rtA2b2A212,rtA2b2A213,rtA2b2A214,rtA2b2A215,rtA2b2A216,rtA2b2A217,rtA2b2A218,rtA2b2A219,rtA2b2A220,rtA2b2A221,rtA2b2A222,rtA2b2A223,rtA2b2A224,rtA2b2A225,rtA2b2A226,rtA2b2A227,rtA2b2A228,rtA2b2A229,rtA2b2A230,rtA2b2A231,rtA2b2A232,rtA2b2A233,rtA2b2A234,rtA2b2A235,rtA2b2A236,rtA2b2A237,rtA2b2A238,rtA2b2A239,rtA2b2A240,rtA2b2A241,rtA2b2A242,rtA2b2A243,rtA2b2A244,rtA2b2A245,rtA2b2A246,rtA2b2A247,rtA2b2A248,rtA2b2A249,rtA2b2A250,rtA2b2A251,rtA2b2A252,rtA2b2A253,rtA2b2A254,rtA2b2A255,rtA2b2A256,rtA2b2A257,rtA2b2A258,rtA2b2A259,rtA2b2A260,rtA2b2A261,rtA2b2A262,rtA2b2A263,rtA2b2A264,rtA2b2A265,rtA2b2A266,rtA2b2A267,rtA2b2A268,rtA2b2A269,rtA2b2A270,rtA2b2A271,rtA2b2A272,rtA2b2A273,rtA2b2A274,rtA2b2A275,rtA2b2A276,rtA2b2A277,rtA2b2A278,rtA2b2A279,rtA2b2A280,rtA2b2A281,rtA2b2A282,rtA2b2A283,rtA2b2A284,rtA2b2A285,rtA2b2A286,rtA2b2A287,rtA2b2A288,rtA2b2A289,rtA2b2A290,rtA2b2A291,rtA2b2A292,rtA2b2A293,rtA2b2A294,rtA2b2A295,rtA2b2A296,rtA2b2A297,rtA2b2A298,rtA2b2A299,rtA2b2A300
0,3193,36680,426114,430353,434553,438750,442931,447274,451542,455986,460339,464739,40835,469179,473535,477840,482137,486480,490737,495037,499373,503673,507894,45035,512052,516128,520228,524365,528424,532565,536641,540660,544700,548700,49277,552700,556700,560660,564635,568492,572387,576287,580185,584118,588018,53435,591910,595666,599466,603266,607066,610866,614704,618504,622266,626102,57746,629902,633662,637500,641300,645059,648897,652681,656513,660475,664475,62048,668435,672435,676467,680427,684467,688465,692465,696425,700465,704425,66448,708414,712449,716484,720582,724682,728823,732875,736968,740968,745008,70848,749008,753004,756932,760871,764764,768804,772764,776804,780804,784804,75292,788804,792773,796659,800606,804602,808443,812218,815937,819537,823223,6373,79648,826916,830544,834192,837929,841716,845575,849337,853175,856937,860729,84284,864526,868458,872312,876112,879912,883750,887550,891350,895112,898839,88838,902678,906478,910158,913856,917554,921291,924991,928626,932281,935920,93484,939556,943156,946720,950315,953801,957228,960751,964306,967906,971506,98066,975070,978704,982184,985684,989219,992698,996215,999815,1003511,1007174,102521,1011033,1014931,1018792,1022564,1026301,1030001,1033701,1037401,1041101,1044947,107021,1048845,1052782,1056682,1060582,1064443,1068248,1071989,1075687,1079353,1082985,111521,1086549,1090128,1093628,1097126,1100624,1104089,1107589,1111137,1114737,1118373,116021,1121937,1125523,1129023,1132558,1136021,1139521,1143056,1146521,1150056,1153478,120535,1156878,1160244,1163678,1167076,1170418,1173816,1177216,1180516,1183748,1186913,9377,125181,1190145,129735,134326,138941,143437,147937,152437,156954,161508,166108,12377,170708,175352,179879,184362,188793,193241,197641,202068,206468,210809,15407,215160,219560,223893,228293,232737,237118,241418,245727,250027,254201,19673,258257,262357,266357,270357,274513,278678,282878,287120,291260,295360,23831,299391,303431,307431,311476,315535,319704,323862,328062,332302,336460,28138,340702,344856,349056,353330,357587,361852,366094,370294,374498,378691,32395,382966,387257,391514,395812,400112,404449,408693,413034,417434,421834
0,3193,36680,426114,430353,434553,438750,442931,447274,451542,455986,460339,464739,40835,469179,473535,477840,482137,486480,490737,495037,499373,503673,507894,45035,512052,516128,520228,524365,528424,532565,536641,540660,544700,548700,49277,552700,556700,560660,564635,568492,572387,576287,580185,584118,588018,53435,591910,595666,599466,603266,607066,610866,614704,618504,622266,626102,57746,629902,633662,637500,641300,645059,648897,652681,656513,660475,664475,62048,668435,672435,676467,680427,684467,688465,692465,696425,700465,704425,66448,708414,712449,716484,720582,724682,728823,732875,736968,740968,745008,70848,749008,753004,756932,760871,764764,768804,772764,776804,780804,784804,75292,788804,792773,796659,800606,804602,808443,812218,815937,819537,823223,6373,79648,826916,830544,834192,837929,841716,845575,849337,853175,856937,860729,84284,864526,868458,872312,876112,879912,883750,887550,891350,895112,898839,88838,902678,906478,910158,913856,917554,921291,924991,928626,932281,935920,93484,939556,943156,946720,950315,953801,957228,960751,964306,967906,971506,98066,975070,978704,982184,985684,989219,992698,996215,999815,1003511,1007174,102521,1011033,1014931,1018792,1022564,1026301,1030001,1033701,1037401,1041101,1044947,107021,1048845,1052782,1056682,1060582,1064443,1068248,1071989,1075687,1079353,1082985,111521,1086549,1090128,1093628,1097126,1100624,1104089,1107589,1111137,1114737,1118373,116021,1121937,1125523,1129023,1132558,1136021,1139521,1143056,1146521,1150056,1153478,120535,1156878,1160244,1163678,1167076,1170418,1173816,1177216,1180516,1183748,1186913,9377,125181,1190145,129735,134326,138941,143437,147937,152437,156954,161508,166108,12377,170708,175352,179879,184362,188793,193241,197641,202068,206468,210809,15407,215160,219560,223893,228293,232737,237118,241418,245727,250027,254201,19673,258257,262357,266357,270357,274513,278678,282878,287120,291260,295360,23831,299391,303431,307431,311476,315535,319704,323862,328062,332302,336460,28138,340702,344856,349056,353330,357587,361852,366094,370294,374498,378691,32395,382966,387257,391514,395812,400112,404449,408693,413034,417434,421834
0,3193,36680,426114,430353,434553,438750,442931,447274,451542,455986,460339,464739,40835,469179,473535,477840,482137,486480,490737,495037,499373,503673,507894,45035,512052,516128,520228,524365,528424,532565,536641,540660,544700,548700,49277,552700,556700,560660,564635,568492,572387,576287,580185,584118,588018,53435,591910,595666,599466,603266,607066,610866,614704,618504,622266,626102,57746,629902,633662,637500,641300,645059,648897,652681,656513,660475,664475,62048,668435,672435,676467,680427,684467,688465,692465,696425,700465,704425,66448,708414,712449,716484,720582,724682,728823,732875,736968,740968,745008,70848,749008,753004,756932,760871,764764,768804,772764,776804,780804,784804,75292,788804,792773,796659,800606,804602,808443,812218,815937,819537,823223,6373,79648,826916,830544,834192,837929,841716,845575,849337,853175,856937,860729,84284,864526,868458,872312,876112,879912,883750,887550,891350,895112,898839,88838,902678,906478,910158,913856,917554,921291,924991,928626,932281,935920,93484,939556,943156,946720,950315,953801,957228,960751,964306,967906,971506,98066,975070,978704,982184,985684,989219,992698,996215,999815,1003511,1007174,102521,1011033,1014931,1018792,1022564,1026301,1030001,1033701,1037401,1041101,1044947,107021,1048845,1052782,1056682,1060582,1064443,1068248,1071989,1075687,1079353,1082985,111521,1086549,1090128,1093628,1097126,1100624,1104089,1107589,1111137,1114737,1118373,116021,1121937,1125523,1129023,1132558,1136021,1139521,1143056,1146521,1150056,1153478,120535,1156878,1160244,1163678,1167076,1170418,1173816,1177216,1180516,1183748,1186913,9377,125181,1190145,129735,134326,138941,143437,147937,152437,156954,161508,166108,12377,170708,175352,179879,184362,188793,193241,197641,202068,206468,210809,15407,215160,219560,223893,228293,232737,237118,241418,245727,250027,254201,19673,258257,262357,266357,270357,274513,278678,282878,287120,291260,295360,23831,299391,303431,307431,311476,315535,319704,323862,328062,332302,336460,28138,340702,344856,349056,353330,357587,361852,366094,370294,374498,378691,32395,382966,387257,391514,395812,400112,404449,408693,413034,417434,421834
0,3193,36680,426114,430353,434553,438750,442931,447274,451542,455986,460339,464739,40835,469179,473535,477840,482137,486480,490737,495037,499373,503673,507894,45035,512052,516128,520228,524365,528424,532565,536641,540660,544700,548700,49277,552700,556700,560660,564635,568492,572387,576287,580185,584118,588018,53435,591910,595666,599466,603266,607066,610866,614704,618504,622266,626102,57746,629902,633662,637500,641300,645059,648897,652681,656513,660475,664475,62048,668435,672435,676467,680427,684467,688465,692465,696425,700465,704425,66448,708414,712449,716484,720582,724682,728823,732875,736968,740968,745008,70848,749008,753004,756932,760871,764764,768804,772764,776804,780804,784804,75292,788804,792773,796659,800606,804602,808443,812218,815937,819537,823223,6373,79648,826916,830544,834192,837929,841716,845575,849337,853175,856937,860729,84284,864526,868458,872312,876112,879912,883750,887550,891350,895112,898839,88838,902678,906478,910158,913856,917554,921291,924991,928626,932281,935920,93484,939556,943156,946720,950315,953801,957228,960751,964306,967906,971506,98066,975070,978704,982184,985684,989219,992698,996215,999815,1003511,1007174,102521,1011033,1014931,1018792,1022564,1026301,1030001,1033701,1037401,1041101,1044947,107021,1048845,1052782,1056682,1060582,1064443,1068248,1071989,1075687,1079353,1082985,111521,1086549,1090128,1093628,1097126,1100624,1104089,1107589,1111137,1114737,1118373,116021,1121937,1125523,1129023,1132558,1136021,1139521,1143056,1146521,1150056,1153478,120535,1156878,1160244,1163678,1167076,1170418,1173816,1177216,1180516,1183748,1186913,9377,125181,1190145,129735,134326,138941,143437,147937,152437,156954,161508,166108,12377,170708,175352,179879,184362,188793,193241,197641,202068,206468,210809,15407,215160,219560,223893,228293,232737,237118,241418,245727,250027,254201,19673,258257,262357,266357,270357,274513,278678,282878,287120,291260,295360,23831,299391,303431,307431,311476,315535,319704,323862,328062,332302,336460,28138,340702,344856,349056,353330,357587,361852,366094,370294,374498,378691,32395,382966,387257,391514,395812,400112,404449,408693,413034,417434,421834
0,3193,36680,426114,430353,434553,438750,442931,447274,451542,455986,460339,464739,40835,469179,473535,477840,482137,486480,490737,495037,499373,503673,507894,45035,512052,516128,520228,524365,528424,532565,536641,540660,544700,548700,49277,552700,556700,560660,564635,568492,572387,576287,580185,584118,588018,53435,591910,595666,599466,603266,607066,610866,614704,618504,622266,626102,57746,629902,633662,637500,641300,645059,648897,652681,656513,660475,664475,62048,668435,672435,676467,680427,684467,688465,692465,696425,700465,704425,66448,708414,712449,716484,720582,724682,728823,732875,736968,740968,745008,70848,749008,753004,756932,760871,764764,768804,772764,776804,780804,784804,75292,788804,792773,796659,800606,804602,808443,812218,815937,819537,823223,6373,79648,826916,830544,834192,837929,841716,845575,849337,853175,856937,860729,84284,864526,868458,872312,876112,879912,883750,887550,891350,895112,898839,88838,902678,906478,910158,913856,917554,921291,924991,928626,932281,935920,93484,939556,943156,946720,950315,953801,957228,960751,964306,967906,971506,98066,975070,978704,982184,985684,989219,992698,996215,999815,1003511,1007174,102521,1011033,1014931,1018792,1022564,1026301,1030001,1033701,1037401,1041101,1044947,107021,1048845,1052782,1056682,1060582,1064443,1068248,1071989,1075687,1079353,1082985,111521,1086549,1090128,1093628,1097126,1100624,1104089,1107589,1111137,1114737,1118373,116021,1121937,1125523,1129023,1132558,1136021,1139521,1143056,1146521,1150056,1153478,120535,1156878,1160244,1163678,1167076,1170418,1173816,1177216,1180516,1183748,1186913,9377,125181,1190145,129735,134326,138941,143437,147937,152437,156954,161508,166108,12377,170708,175352,179879,184362,188793,193241,197641,202068,206468,210809,15407,215160,219560,223893,228293,232737,237118,241418,245727,250027,254201,19673,258257,262357,266357,270357,274513,278678,282878,287120,291260,295360,23831,299391,303431,307431,311476,315535,319704,323862,328062,332302,336460,28138,340702,344856,349056,353330,357587,361852,366094,370294,374498,378691,32395,382966,387257,391514,395812,400112,404449,408693,413034,417434,421834
0,3193,36680,426114,430353,434553,438750,442931,447274,451542,455986,460339,464739,40835,469179,473535,477840,482137,486480,490737,495037,499373,503673,507894,45035,512052,516128,520228,524365,528424,532565,536641,540660,544700,548700,49277,552700,556700,560660,564635,568492,572387,576287,580185,584118,588018,53435,591910,595666,599466,603266,607066,610866,614704,618504,622266,626102,57746,629902,633662,637500,641300,645059,648897,652681,656513,660475,664475,62048,668435,672435,676467,680427,684467,688465,692465,696425,700465,704425,66448,708414,712449,716484,720582,724682,728823,732875,736968,740968,745008,70848,749008,753004,756932,760871,764764,768804,772764,776804,780804,784804,75292,788804,792773,796659,800606,804602,808443,812218,815937,819537,823223,6373,79648,826916,830544,834192,837929,841716,845575,849337,853175,856937,860729,84284,864526,868458,872312,876112,879912,883750,887550,891350,895112,898839,88838,902678,906478,910158,913856,917554,921291,924991,928626,932281,935920,93484,939556,943156,946720,950315,953801,957228,960751,964306,967906,971506,98066,975070,978704,982184,985684,989219,992698,996215,999815,1003511,1007174,102521,1011033,1014931,1018792,1022564,1026301,1030001,1033701,1037401,1041101,1044947,107021,1048845,1052782,1056682,1060582,1064443,1068248,1071989,1075687,1079353,1082985,111521,1086549,1090128,1093628,1097126,1100624,1104089,1107589,1111137,1114737,1118373,116021,1121937,1125523,1129023,1132558,1136021,1139521,1143056,1146521,1150056,1153478,120535,1156878,1160244,1163678,1167076,1170418,1173816,1177216,1180516,1183748,1186913,9377,125181,1190145,129735,134326,138941,143437,147937,152437,156954,161508,166108,12377,170708,175352,179879,184362,188793,193241,197641,202068,206468,210809,15407,215160,219560,223893,228293,232737,237118,241418,245727,250027,254201,19673,258257,262357,266357,270357,274513,278678,282878,287120,291260,295360,23831,299391,303431,307431,311476,315535,319704,323862,328062,332302,336460,28138,340702,344856,349056,353330,357587,361852,366094,370294,374498,378691,32395,382966,387257,391514,395812,400112,404449,408693,413034,417434,421834
0,3193,36680,426114,430353,434553,438750,442931,447274,451542,455986,460339,464739,40835,469179,473535,477840,482137,486480,490737,495037,499373,503673,507894,45035,512052,516128,520228,524365,528424,532565,536641,540660,544700,548700,49277,552700,556700,560660,564635,568492,572387,576287,580185,584118,588018,53435,591910,595666,599466,603266,607066,610866,614704,618504,622266,626102,57746,629902,633662,637500,641300,645059,648897,652681,656513,660475,664475,62048,668435,672435,676467,680427,684467,688465,692465,696425,700465,704425,66448,708414,712449,716484,720582,724682,728823,732875,736968,740968,745008,70848,749008,753004,756932,760871,764764,768804,772764,776804,780804,784804,75292,788804,792773,796659,800606,804602,808443,812218,815937,819537,823223,6373,79648,826916,830544,834192,837929,841716,845575,849337,853175,856937,860729,84284,864526,868458,872312,876112,879912,883750,887550,891350,895112,898839,88838,902678,906478,910158,913856,917554,921291,924991,928626,932281,935920,93484,939556,943156,946720,950315,953801,957228,960751,964306,967906,971506,98066,975070,978704,982184,985684,989219,992698,996215,999815,1003511,1007174,102521,1011033,1014931,1018792,1022564,1026301,1030001,1033701,1037401,1041101,1044947,107021,1048845,1052782,1056682,1060582,1064443,1068248,1071989,1075687,1079353,1082985,111521,1086549,1090128,1093628,1097126,1100624,1104089,1107589,1111137,1114737,1118373,116021,1121937,1125523,1129023,1132558,1136021,1139521,1143056,1146521,1150056,1153478,120535,1156878,1160244,1163678,1167076,1170418,1173816,1177216,1180516,1183748,1186913,9377,125181,1190145,129735,134326,138941,143437,147937,152437,156954,161508,166108,12377,170708,175352,179879,184362,188793,193241,197641,202068,206468,210809,15407,215160,219560,223893,228293,232737,237118,241418,245727,250027,254201,19673,258257,262357,266357,270357,274513,278678,282878,287120,291260,295360,23831,299391,303431,307431,311476,315535,319704,323862,328062,332302,336460,28138,340702,344856,349056,353330,357587,361852,366094,370294,374498,378691,32395,382966,387257,391514,395812,400112,404449,408693,413034,417434,421834
0,3193,36680,426114,430353,434553,438750,442931,447274,451542,455986,460339,464739,40835,469179,473535,477840,482137,486480,490737,495037,499373,503673,507894,45035,512052,516128,520228,524365,528424,532565,536641,540660,544700,548700,49277,552700,556700,560660,564635,568492,572387,576287,580185,584118,588018,53435,591910,595666,599466,603266,607066,610866,614704,618504,622266,626102,57746,629902,633662,637500,641300,645059,648897,652681,656513,660475,664475,62048,668435,672435,676467,680427,684467,688465,692465,696425,700465,704425,66448,708414,712449,716484,720582,724682,728823,732875,736968,740968,745008,70848,749008,753004,756932,760871,764764,768804,772764,776804,780804,784804,75292,788804,792773,796659,800606,804602,808443,812218,815937,819537,823223,6373,79648,826916,830544,834192,837929,841716,845575,849337,853175,856937,860729,84284,864526,868458,872312,876112,879912,883750,887550,891350,895112,898839,88838,902678,906478,910158,913856,917554,921291,924991,928626,932281,935920,93484,939556,943156,946720,950315,953801,957228,960751,964306,967906,971506,98066,975070,978704,982184,985684,989219,992698,996215,999815,1003511,1007174,102521,1011033,1014931,1018792,1022564,1026301,1030001,1033701,1037401,1041101,1044947,107021,1048845,1052782,1056682,1060582,1064443,1068248,1071989,1075687,1079353,1082985,111521,1086549,1090128,1093628,1097126,1100624,1104089,1107589,1111137,1114737,1118373,116021,1121937,1125523,1129023,1132558,1136021,1139521,1143056,1146521,1150056,1153478,120535,1156878,1160244,1163678,1167076,1170418,1173816,1177216,1180516,1183748,1186913,9377,125181,1190145,129735,134326,138941,143437,147937,152437,156954,161508,166108,12377,170708,175352,179879,184362,188793,193241,197641,202068,206468,210809,15407,215160,219560,223893,228293,232737,237118,241418,245727,250027,254201,19673,258257,262357,266357,270357,274513,278678,282878,287120,291260,295360,23831,299391,303431,307431,311476,315535,319704,323862,328062,332302,336460,28138,340702,344856,349056,353330,357587,361852,366094,370294,374498,378691,32395,382966,387257,391514,395812,400112,404449,408693,413034,417434,421834
0,3193,36680,426114,430353,434553,438750,442931,447274,451542,455986,460339,464739,40835,469179,473535,477840,482137,486480,490737,495037,499373,503673,507894,45035,512052,516128,520228,524365,528424,532565,536641,540660,544700,548700,49277,552700,556700,560660,564635,568492,572387,576287,580185,584118,588018,53435,591910,595666,599466,603266,607066,610866,614704,618504,622266,626102,57746,629902,633662,637500,641300,645059,648897,652681,656513,660475,664475,62048,668435,672435,676467,680427,684467,688465,692465,696425,700465,704425,66448,708414,712449,716484,720582,724682,728823,732875,736968,740968,745008,70848,749008,753004,756932,760871,764764,768804,772764,776804,780804,784804,75292,788804,792773,796659,800606,804602,808443,812218,815937,819537,823223,6373,79648,826916,830544,834192,837929,841716,845575,849337,853175,856937,860729,84284,864526,868458,872312,876112,879912,883750,887550,891350,895112,898839,88838,902678,906478,910158,913856,917554,921291,924991,928626,932281,935920,93484,939556,943156,946720,950315,953801,957228,960751,964306,967906,971506,98066,975070,978704,982184,985684,989219,992698,996215,999815,1003511,1007174,102521,1011033,1014931,1018792,1022564,1026301,1030001,1033701,1037401,1041101,1044947,107021,1048845,1052782,1056682,1060582,1064443,1068248,1071989,1075687,1079353,1082985,111521,1086549,1090128,1093628,1097126,1100624,1104089,1107589,1111137,1114737,1118373,116021,1121937,1125523,1129023,1132558,1136021,1139521,1143056,1146521,1150056,1153478,120535,1156878,1160244,1163678,1167076,1170418,1173816,1177216,1180516,1183748,1186913,9377,125181,1190145,129735,134326,138941,143437,147937,152437,156954,161508,166108,12377,170708,175352,179879,184362,188793,193241,197641,202068,206468,210809,15407,215160,219560,223893,228293,232737,237118,241418,245727,250027,254201,19673,258257,262357,266357,270357,274513,278678,282878,287120,291260,295360,23831,299391,303431,307431,311476,315535,319704,323862,328062,332302,336460,28138,340702,344856,349056,353330,357587,361852,366094,370294,374498,378691,32395,382966,387257,391514,395812,400112,404449,408693,413034,417434,421834
0,3193,36680,426114,430353,434553,438750,442931,447274,451542,455986,460339,464739,40835,469179,473535,477840,482137,486480,490737,495037,499373,503673,507894,45035,512052,516128,520228,524365,528424,532565,536641,540660,544700,548700,49277,552700,556700,560660,564635,568492,572387,576287,580185,584118,588018,53435,591910,595666,599466,603266,607066,610866,614704,618504,622266,626102,57746,629902,633662,637500,641300,645059,648897,652681,656513,660475,664475,62048,668435,672435,676467,680427,684467,688465,692465,696425,700465,704425,66448,708414,712449,716484,720582,724682,728823,732875,736968,740968,745008,70848,749008,753004,756932,760871,764764,768804,772764,776804,780804,784804,75292,788804,792773,796659,800606,804602,808443,812218,815937,819537,823223,6373,79648,826916,830544,834192,837929,841716,845575,849337,853175,856937,860729,84284,864526,868458,872312,876112,879912,883750,887550,891350,895112,898839,88838,902678,906478,910158,913856,917554,921291,924991,928626,932281,935920,93484,939556,943156,946720,950315,953801,957228,960751,964306,967906,971506,98066,975070,978704,982184,985684,989219,992698,996215,999815,1003511,1007174,102521,1011033,1014931,1018792,1022564,1026301,1030001,1033701,1037401,1041101,1044947,107021,1048845,1052782,1056682,1060582,1064443,1068248,1071989,1075687,1079353,1082985,111521,1086549,1090128,1093628,1097126,1100624,1104089,1107589,1111137,1114737,1118373,116021,1121937,1125523,1129023,1132558,1136021,1139521,1143056,1146521,1150056,1153478,120535,1156878,1160244,1163678,1167076,1170418,1173816,1177216,1180516,1183748,1186913,9377,125181,1190145,129735,134326,138941,143437,147937,152437,156954,161508,166108,12377,170708,175352,179879,184362,188793,193241,197641,202068,206468,210809,15407,215160,219560,223893,228293,232737,237118,241418,245727,250027,254201,19673,258257,262357,266357,270357,274513,278678,282878,287120,291260,295360,23831,299391,303431,307431,311476,315535,319704,323862,328062,332302,336460,28138,340702,344856,349056,353330,357587,361852,366094,370294,374498,378691,32395,382966,387257,391514,395812,400112,404449,408693,413034,417434,421834
