nullrtA20,rtA21,rtA22,rtA23,rtA24,rtA25,rtA26,rtA27,rtA28,rtA29,rtA210,rtA211,rtA212,rtA213,rtA214,rtA215,rtA216,rtA217,rtA218,rtA219,rtA220,rtA221,rtA222,rtA223,rtA224,rtA225,rtA226,rtA227,rtA228,rtA229,rtA230,rtA231,rtA232,rtA233,rtA234,rtA235,rtA236,rtA237,rtA238,rtA239,rtA240,rtA241,rtA242,rtA243,rtA244,rtA245,rtA246,rtA247,rtA248,rtA249,rtA250,rtA251,rtA252,rtA253,rtA254,rtA255,rtA256,rtA257,rtA258,rtA259,rtA260,rtA261,rtA262,rtA263,rtA264,rtA265,rtA266,rtA267,rtA268,rtA269,rtA270,rtA271,rtA272,rtA273,rtA274,rtA275,rtA276,rtA277,rtA278,rtA279,rtA280,rtA281,rtA282,rtA283,rtA284,rtA285,rtA286,rtA287,rtA288,rtA289,rtA290,rtA291,rtA292,rtA293,rtA294,rtA295,rtA296,rtA297,rtA298,rtA299,rtA2100,rtA2101,rtA2102,rtA2103,rtA2104,rtA2105,rtA2106,rtA2107,rtA2108,rtA2109,rtA2110,rtA2111,rtA2112,rtA2113,rtA2114,rtA2115,rtA2116,rtA2117,rtA2118,rtA2119,rtA2120,rtA2121,rtA2122,rtA2123,rtA2124,rtA2125,rtA2126,rtA2127,rtA2128,rtA2129,rtA2130,rtA2131,rtA2132,rtA2133,rtA2134,rtA2135,rtA2136,rtA2137,rtA2138,rtA2139,rtA2140,rtA2141,rtA2142,rtA2143,rtA2144,rtA2145,rtA2146,rtA2147,rtA2148,rtA2149,rtA2150,rtA2151,rtA2152,rtA2153,rtA2154,rtA2155,rtA2156,rtA2157,rtA2158,rtA2159,rtA2160,rtA2161,rtA2162,rtA2163,rtA2164,rtA2165,rtA2166,rtA2167,rtA2168,rtA2169,rtA2170,rtA2171,rtA2172,rtA2173,rtA2174,rtA2175,rtA2176,rtA2177,rtA2178,rtA2179,rtA2180,rtA2181,rtA2182,rtA2183,rtA2184,rtA2185,rtA2186,rtA2187,rtA2188,rtA2189,rtA2190,rtA2191,rtA2192,rtA2193,rtA2194,rtA2195,rtA2196,rtA2197,rtA2198,rtA2199,rtA2200,rtA2201,rtA2202,rtA2203,rtA2204,rtA2205,rtA2206,rtA2207,rtA2208,rtA2209,rtA2210,rtA2211,rtA2212,rtA2213,rtA2214,rtA2215,rtA2216,rtA2217,rtA2218,rtA2219,rtA2220,rtA2221,rtA2222,rtA2223,rtA2224,rtA2225,rtA2226,rtA2227,rtA2228,rtA2229,rtA2230,rtA2231,rtA2232,rtA2233,rtA2234,rtA2235,rtA2236,rtA2237,rtA2238,rtA2239,rtA2240,rtA2241,rtA2242,rtA2243,rtA2244,rtA2245,rtA2246,rtA2247,rtA2248,rtA2249,rtA2250,rtA2251,rtA2252,rtA2253,rtA2254,rtA2255,rtA2256,rtA2257,rtA2258,rtA2259,rtA2260,rtA2261,rtA2262,rtA2263,rtA2264,rtA2265,rtA2266,rtA2267,rtA2268,rtA2269,rtA2270,rtA2271,rtA2272,rtA2273,rtA2274,rtA2275,rtA2276,rtA2277,rtA2278,rtA2279,rtA2280,rtA2281,rtA2282,rtA2283,rtA2284,rtA2285,rtA2286,rtA2287,rtA2288,rtA2289,rtA2290,rtA2291,rtA2292,rtA2293,rtA2294,rtA2295,rtA2296,rtA2297,rtA2298,rtA2299,rtA2300
0,17246,173665,1720289,1737154,1753760,1770358,1786746,1803411,1819808,1836776,1853284,1869884,191271,1886673,1903064,1919564,1936061,1952726,1968942,1985146,2001272,2017233,2032989,209069,2048532,2064155,2079754,2095508,2110951,2126707,2141985,2157221,2172573,2187719,227023,2202855,2218055,2233084,2248249,2263089,2278085,2293081,2308080,2323225,2338225,244723,2353189,2367742,2382347,2396945,2411600,2426371,2441257,2456146,2470967,2486053,262652,2500965,2515651,2530682,2545679,2560601,2575852,2590835,2605971,2621765,2637866,280642,2653769,2669776,2686021,2701959,2718151,2734147,2750094,2765792,2781579,2796928,298711,2812074,2827321,2842428,2857629,2872829,2888229,2903290,2918498,2933497,2948549,316724,2963449,2978398,2993199,3008138,3022761,3037909,3052658,3067633,3082458,3097262,334867,3112065,3126901,3141414,3156182,3171309,3186140,3201015,3215854,3230512,3245499,34458,352556,3260855,3276045,3290970,3306221,3321337,3336782,3352091,3367645,3382883,3398277,370414,3413663,3429348,3444788,3460388,3475985,3491732,3507230,3522730,3538047,3553212,387834,3568466,3583466,3598234,3613068,3627964,3643045,3658045,3672867,3687936,3702781,405622,3717830,3732731,3747564,3762770,3777844,3792728,3808560,3824344,3840143,3855958,423319,3871641,3887732,3903297,3918827,3934440,3950058,3965865,3981760,3997748,4013588,440809,4029878,4046259,4062495,4078487,4094537,4110436,4126377,4142254,4158054,4174575,458409,4191340,4208308,4225107,4241906,4258540,4275317,4291987,4308574,4325137,4341798,476017,4358133,4374742,4391139,4407521,4423899,4440128,4456528,4472979,4489479,4506141,493626,4522474,4538953,4555349,4571913,4588144,4604544,4621164,4637458,4654121,4670419,511222,4686719,4702856,4719351,4735940,4752484,4769083,4785667,4802097,4818736,4834888,51385,528941,4851346,546258,563857,581566,599002,616502,634002,651410,668636,686093,68485,703493,721183,738743,756218,773420,790768,808094,825492,842892,860233,85707,877502,894702,911898,929013,946179,963270,980370,997262,1014257,1031197,103384,1048269,1065268,1082098,1099098,1116268,1133026,1150026,1167203,1184187,1201187,120823,1218005,1235086,1251985,1268808,1285349,1302215,1318745,1335445,1352222,1368654,138598,1385480,1402011,1418624,1435386,1451724,1468186,1484872,1501427,1517816,1534111,155943,1550574,1567425,1584296,1601473,1618671,1636012,1652812,1669712,1686609,1703541
0,17246,173665,1720289,1737154,1753760,1770358,1786746,1803411,1819808,1836776,1853284,1869884,191271,1886673,1903064,1919564,1936061,1952726,1968942,1985146,2001272,2017233,2032989,209069,2048532,2064155,2079754,2095508,2110951,2126707,2141985,2157221,2172573,2187719,227023,2202855,2218055,2233084,2248249,2263089,2278085,2293081,2308080,2323225,2338225,244723,2353189,2367742,2382347,2396945,2411600,2426371,2441257,2456146,2470967,2486053,262652,2500965,2515651,2530682,2545679,2560601,2575852,2590835,2605971,2621765,2637866,280642,2653769,2669776,2686021,2701959,2718151,2734147,2750094,2765792,2781579,2796928,298711,2812074,2827321,2842428,2857629,2872829,2888229,2903290,2918498,2933497,2948549,316724,2963449,2978398,2993199,3008138,3022761,3037909,3052658,3067633,3082458,3097262,334867,3112065,3126901,3141414,3156182,3171309,3186140,3201015,3215854,3230512,3245499,34458,352556,3260855,3276045,3290970,3306221,3321337,3336782,3352091,3367645,3382883,3398277,370414,3413663,3429348,3444788,3460388,3475985,3491732,3507230,3522730,3538047,3553212,387834,3568466,3583466,3598234,3613068,3627964,3643045,3658045,3672867,3687936,3702781,405622,3717830,3732731,3747564,3762770,3777844,3792728,3808560,3824344,3840143,3855958,423319,3871641,3887732,3903297,3918827,3934440,3950058,3965865,3981760,3997748,4013588,440809,4029878,4046259,4062495,4078487,4094537,4110436,4126377,4142254,4158054,4174575,458409,4191340,4208308,4225107,4241906,4258540,4275317,4291987,4308574,4325137,4341798,476017,4358133,4374742,4391139,4407521,4423899,4440128,4456528,4472979,4489479,4506141,493626,4522474,4538953,4555349,4571913,4588144,4604544,4621164,4637458,4654121,4670419,511222,4686719,4702856,4719351,4735940,4752484,4769083,4785667,4802097,4818736,4834888,51385,528941,4851346,546258,563857,581566,599002,616502,634002,651410,668636,686093,68485,703493,721183,738743,756218,773420,790768,808094,825492,842892,860233,85707,877502,894702,911898,929013,946179,963270,980370,997262,1014257,1031197,103384,1048269,1065268,1082098,1099098,1116268,1133026,1150026,1167203,1184187,1201187,120823,1218005,1235086,1251985,1268808,1285349,1302215,1318745,1335445,1352222,1368654,138598,1385480,1402011,1418624,1435386,1451724,1468186,1484872,1501427,1517816,1534111,155943,1550574,1567425,1584296,1601473,1618671,1636012,1652812,1669712,1686609,1703541
0,17246,173665,1720289,1737154,1753760,1770358,1786746,1803411,1819808,1836776,1853284,1869884,191271,1886673,1903064,1919564,1936061,1952726,1968942,1985146,2001272,2017233,2032989,209069,2048532,2064155,2079754,2095508,2110951,2126707,2141985,2157221,2172573,2187719,227023,2202855,2218055,2233084,2248249,2263089,2278085,2293081,2308080,2323225,2338225,244723,2353189,2367742,2382347,2396945,2411600,2426371,2441257,2456146,2470967,2486053,262652,2500965,2515651,2530682,2545679,2560601,2575852,2590835,2605971,2621765,2637866,280642,2653769,2669776,2686021,2701959,2718151,2734147,2750094,2765792,2781579,2796928,298711,2812074,2827321,2842428,2857629,2872829,2888229,2903290,2918498,2933497,2948549,316724,2963449,2978398,2993199,3008138,3022761,3037909,3052658,3067633,3082458,3097262,334867,3112065,3126901,3141414,3156182,3171309,3186140,3201015,3215854,3230512,3245499,34458,352556,3260855,3276045,3290970,3306221,3321337,3336782,3352091,3367645,3382883,3398277,370414,3413663,3429348,3444788,3460388,3475985,3491732,3507230,3522730,3538047,3553212,387834,3568466,3583466,3598234,3613068,3627964,3643045,3658045,3672867,3687936,3702781,405622,3717830,3732731,3747564,3762770,3777844,3792728,3808560,3824344,3840143,3855958,423319,3871641,3887732,3903297,3918827,3934440,3950058,3965865,3981760,3997748,4013588,440809,4029878,4046259,4062495,4078487,4094537,4110436,4126377,4142254,4158054,4174575,458409,4191340,4208308,4225107,4241906,4258540,4275317,4291987,4308574,4325137,4341798,476017,4358133,4374742,4391139,4407521,4423899,4440128,4456528,4472979,4489479,4506141,493626,4522474,4538953,4555349,4571913,4588144,4604544,4621164,4637458,4654121,4670419,511222,4686719,4702856,4719351,4735940,4752484,4769083,4785667,4802097,4818736,4834888,51385,528941,4851346,546258,563857,581566,599002,616502,634002,651410,668636,686093,68485,703493,721183,738743,756218,773420,790768,808094,825492,842892,860233,85707,877502,894702,911898,929013,946179,963270,980370,997262,1014257,1031197,103384,1048269,1065268,1082098,1099098,1116268,1133026,1150026,1167203,1184187,1201187,120823,1218005,1235086,1251985,1268808,1285349,1302215,1318745,1335445,1352222,1368654,138598,1385480,1402011,1418624,1435386,1451724,1468186,1484872,1501427,1517816,1534111,155943,1550574,1567425,1584296,1601473,1618671,1636012,1652812,1669712,1686609,1703541
0,17246,173665,1720289,1737154,1753760,1770358,1786746,1803411,1819808,1836776,1853284,1869884,191271,1886673,1903064,1919564,1936061,1952726,1968942,1985146,2001272,2017233,2032989,209069,2048532,2064155,2079754,2095508,2110951,2126707,2141985,2157221,2172573,2187719,227023,2202855,2218055,2233084,2248249,2263089,2278085,2293081,2308080,2323225,2338225,244723,2353189,2367742,2382347,2396945,2411600,2426371,2441257,2456146,2470967,2486053,262652,2500965,2515651,2530682,2545679,2560601,2575852,2590835,2605971,2621765,2637866,280642,2653769,2669776,2686021,2701959,2718151,2734147,2750094,2765792,2781579,2796928,298711,2812074,2827321,2842428,2857629,2872829,2888229,2903290,2918498,2933497,2948549,316724,2963449,2978398,2993199,3008138,3022761,3037909,3052658,3067633,3082458,3097262,334867,3112065,3126901,3141414,3156182,3171309,3186140,3201015,3215854,3230512,3245499,34458,352556,3260855,3276045,3290970,3306221,3321337,3336782,3352091,3367645,3382883,3398277,370414,3413663,3429348,3444788,3460388,3475985,3491732,3507230,3522730,3538047,3553212,387834,3568466,3583466,3598234,3613068,3627964,3643045,3658045,3672867,3687936,3702781,405622,3717830,3732731,3747564,3762770,3777844,3792728,3808560,3824344,3840143,3855958,423319,3871641,3887732,3903297,3918827,3934440,3950058,3965865,3981760,3997748,4013588,440809,4029878,4046259,4062495,4078487,4094537,4110436,4126377,4142254,4158054,4174575,458409,4191340,4208308,4225107,4241906,4258540,4275317,4291987,4308574,4325137,4341798,476017,4358133,4374742,4391139,4407521,4423899,4440128,4456528,4472979,4489479,4506141,493626,4522474,4538953,4555349,4571913,4588144,4604544,4621164,4637458,4654121,4670419,511222,4686719,4702856,4719351,4735940,4752484,4769083,4785667,4802097,4818736,4834888,51385,528941,4851346,546258,563857,581566,599002,616502,634002,651410,668636,686093,68485,703493,721183,738743,756218,773420,790768,808094,825492,842892,860233,85707,877502,894702,911898,929013,946179,963270,980370,997262,1014257,1031197,103384,1048269,1065268,1082098,1099098,1116268,1133026,1150026,1167203,1184187,1201187,120823,1218005,1235086,1251985,1268808,1285349,1302215,1318745,1335445,1352222,1368654,138598,1385480,1402011,1418624,1435386,1451724,1468186,1484872,1501427,1517816,1534111,155943,1550574,1567425,1584296,1601473,1618671,1636012,1652812,1669712,1686609,1703541
0,17246,173665,1720289,1737154,1753760,1770358,1786746,1803411,1819808,1836776,1853284,1869884,191271,1886673,1903064,1919564,1936061,1952726,1968942,1985146,2001272,2017233,2032989,209069,2048532,2064155,2079754,2095508,2110951,2126707,2141985,2157221,2172573,2187719,227023,2202855,2218055,2233084,2248249,2263089,2278085,2293081,2308080,2323225,2338225,244723,2353189,2367742,2382347,2396945,2411600,2426371,2441257,2456146,2470967,2486053,262652,2500965,2515651,2530682,2545679,2560601,2575852,2590835,2605971,2621765,2637866,280642,2653769,2669776,2686021,2701959,2718151,2734147,2750094,2765792,2781579,2796928,298711,2812074,2827321,2842428,2857629,2872829,2888229,2903290,2918498,2933497,2948549,316724,2963449,2978398,2993199,3008138,3022761,3037909,3052658,3067633,3082458,3097262,334867,3112065,3126901,3141414,3156182,3171309,3186140,3201015,3215854,3230512,3245499,34458,352556,3260855,3276045,3290970,3306221,3321337,3336782,3352091,3367645,3382883,3398277,370414,3413663,3429348,3444788,3460388,3475985,3491732,3507230,3522730,3538047,3553212,387834,3568466,3583466,3598234,3613068,3627964,3643045,3658045,3672867,3687936,3702781,405622,3717830,3732731,3747564,3762770,3777844,3792728,3808560,3824344,3840143,3855958,423319,3871641,3887732,3903297,3918827,3934440,3950058,3965865,3981760,3997748,4013588,440809,4029878,4046259,4062495,4078487,4094537,4110436,4126377,4142254,4158054,4174575,458409,4191340,4208308,4225107,4241906,4258540,4275317,4291987,4308574,4325137,4341798,476017,4358133,4374742,4391139,4407521,4423899,4440128,4456528,4472979,4489479,4506141,493626,4522474,4538953,4555349,4571913,4588144,4604544,4621164,4637458,4654121,4670419,511222,4686719,4702856,4719351,4735940,4752484,4769083,4785667,4802097,4818736,4834888,51385,528941,4851346,546258,563857,581566,599002,616502,634002,651410,668636,686093,68485,703493,721183,738743,756218,773420,790768,808094,825492,842892,860233,85707,877502,894702,911898,929013,946179,963270,980370,997262,1014257,1031197,103384,1048269,1065268,1082098,1099098,1116268,1133026,1150026,1167203,1184187,1201187,120823,1218005,1235086,1251985,1268808,1285349,1302215,1318745,1335445,1352222,1368654,138598,1385480,1402011,1418624,1435386,1451724,1468186,1484872,1501427,1517816,1534111,155943,1550574,1567425,1584296,1601473,1618671,1636012,1652812,1669712,1686609,1703541
0,17246,173665,1720289,1737154,1753760,1770358,1786746,1803411,1819808,1836776,1853284,1869884,191271,1886673,1903064,1919564,1936061,1952726,1968942,1985146,2001272,2017233,2032989,209069,2048532,2064155,2079754,2095508,2110951,2126707,2141985,2157221,2172573,2187719,227023,2202855,2218055,2233084,2248249,2263089,2278085,2293081,2308080,2323225,2338225,244723,2353189,2367742,2382347,2396945,2411600,2426371,2441257,2456146,2470967,2486053,262652,2500965,2515651,2530682,2545679,2560601,2575852,2590835,2605971,2621765,2637866,280642,2653769,2669776,2686021,2701959,2718151,2734147,2750094,2765792,2781579,2796928,298711,2812074,2827321,2842428,2857629,2872829,2888229,2903290,2918498,2933497,2948549,316724,2963449,2978398,2993199,3008138,3022761,3037909,3052658,3067633,3082458,3097262,334867,3112065,3126901,3141414,3156182,3171309,3186140,3201015,3215854,3230512,3245499,34458,352556,3260855,3276045,3290970,3306221,3321337,3336782,3352091,3367645,3382883,3398277,370414,3413663,3429348,3444788,3460388,3475985,3491732,3507230,3522730,3538047,3553212,387834,3568466,3583466,3598234,3613068,3627964,3643045,3658045,3672867,3687936,3702781,405622,3717830,3732731,3747564,3762770,3777844,3792728,3808560,3824344,3840143,3855958,423319,3871641,3887732,3903297,3918827,3934440,3950058,3965865,3981760,3997748,4013588,440809,4029878,4046259,4062495,4078487,4094537,4110436,4126377,4142254,4158054,4174575,458409,4191340,4208308,4225107,4241906,4258540,4275317,4291987,4308574,4325137,4341798,476017,4358133,4374742,4391139,4407521,4423899,4440128,4456528,4472979,4489479,4506141,493626,4522474,4538953,4555349,4571913,4588144,4604544,4621164,4637458,4654121,4670419,511222,4686719,4702856,4719351,4735940,4752484,4769083,4785667,4802097,4818736,4834888,51385,528941,4851346,546258,563857,581566,599002,616502,634002,651410,668636,686093,68485,703493,721183,738743,756218,773420,790768,808094,825492,842892,860233,85707,877502,894702,911898,929013,946179,963270,980370,997262,1014257,1031197,103384,1048269,1065268,1082098,1099098,1116268,1133026,1150026,1167203,1184187,1201187,120823,1218005,1235086,1251985,1268808,1285349,1302215,1318745,1335445,1352222,1368654,138598,1385480,1402011,1418624,1435386,1451724,1468186,1484872,1501427,1517816,1534111,155943,1550574,1567425,1584296,1601473,1618671,1636012,1652812,1669712,1686609,1703541
0,17246,173665,1720289,1737154,1753760,1770358,1786746,1803411,1819808,1836776,1853284,1869884,191271,1886673,1903064,1919564,1936061,1952726,1968942,1985146,2001272,2017233,2032989,209069,2048532,2064155,2079754,2095508,2110951,2126707,2141985,2157221,2172573,2187719,227023,2202855,2218055,2233084,2248249,2263089,2278085,2293081,2308080,2323225,2338225,244723,2353189,2367742,2382347,2396945,2411600,2426371,2441257,2456146,2470967,2486053,262652,2500965,2515651,2530682,2545679,2560601,2575852,2590835,2605971,2621765,2637866,280642,2653769,2669776,2686021,2701959,2718151,2734147,2750094,2765792,2781579,2796928,298711,2812074,2827321,2842428,2857629,2872829,2888229,2903290,2918498,2933497,2948549,316724,2963449,2978398,2993199,3008138,3022761,3037909,3052658,3067633,3082458,3097262,334867,3112065,3126901,3141414,3156182,3171309,3186140,3201015,3215854,3230512,3245499,34458,352556,3260855,3276045,3290970,3306221,3321337,3336782,3352091,3367645,3382883,3398277,370414,3413663,3429348,3444788,3460388,3475985,3491732,3507230,3522730,3538047,3553212,387834,3568466,3583466,3598234,3613068,3627964,3643045,3658045,3672867,3687936,3702781,405622,3717830,3732731,3747564,3762770,3777844,3792728,3808560,3824344,3840143,3855958,423319,3871641,3887732,3903297,3918827,3934440,3950058,3965865,3981760,3997748,4013588,440809,4029878,4046259,4062495,4078487,4094537,4110436,4126377,4142254,4158054,4174575,458409,4191340,4208308,4225107,4241906,4258540,4275317,4291987,4308574,4325137,4341798,476017,4358133,4374742,4391139,4407521,4423899,4440128,4456528,4472979,4489479,4506141,493626,4522474,4538953,4555349,4571913,4588144,4604544,4621164,4637458,4654121,4670419,511222,4686719,4702856,4719351,4735940,4752484,4769083,4785667,4802097,4818736,4834888,51385,528941,4851346,546258,563857,581566,599002,616502,634002,651410,668636,686093,68485,703493,721183,738743,756218,773420,790768,808094,825492,842892,860233,85707,877502,894702,911898,929013,946179,963270,980370,997262,1014257,1031197,103384,1048269,1065268,1082098,1099098,1116268,1133026,1150026,1167203,1184187,1201187,120823,1218005,1235086,1251985,1268808,1285349,1302215,1318745,1335445,1352222,1368654,138598,1385480,1402011,1418624,1435386,1451724,1468186,1484872,1501427,1517816,1534111,155943,1550574,1567425,1584296,1601473,1618671,1636012,1652812,1669712,1686609,1703541
0,17246,173665,1720289,1737154,1753760,1770358,1786746,1803411,1819808,1836776,1853284,1869884,191271,1886673,1903064,1919564,1936061,1952726,1968942,1985146,2001272,2017233,2032989,209069,2048532,2064155,2079754,2095508,2110951,2126707,2141985,2157221,2172573,2187719,227023,2202855,2218055,2233084,2248249,2263089,2278085,2293081,2308080,2323225,2338225,244723,2353189,2367742,2382347,2396945,2411600,2426371,2441257,2456146,2470967,2486053,262652,2500965,2515651,2530682,2545679,2560601,2575852,2590835,2605971,2621765,2637866,280642,2653769,2669776,2686021,2701959,2718151,2734147,2750094,2765792,2781579,2796928,298711,2812074,2827321,2842428,2857629,2872829,2888229,2903290,2918498,2933497,2948549,316724,2963449,2978398,2993199,3008138,3022761,3037909,3052658,3067633,3082458,3097262,334867,3112065,3126901,3141414,3156182,3171309,3186140,3201015,3215854,3230512,3245499,34458,352556,3260855,3276045,3290970,3306221,3321337,3336782,3352091,3367645,3382883,3398277,370414,3413663,3429348,3444788,3460388,3475985,3491732,3507230,3522730,3538047,3553212,387834,3568466,3583466,3598234,3613068,3627964,3643045,3658045,3672867,3687936,3702781,405622,3717830,3732731,3747564,3762770,3777844,3792728,3808560,3824344,3840143,3855958,423319,3871641,3887732,3903297,3918827,3934440,3950058,3965865,3981760,3997748,4013588,440809,4029878,4046259,4062495,4078487,4094537,4110436,4126377,4142254,4158054,4174575,458409,4191340,4208308,4225107,4241906,4258540,4275317,4291987,4308574,4325137,4341798,476017,4358133,4374742,4391139,4407521,4423899,4440128,4456528,4472979,4489479,4506141,493626,4522474,4538953,4555349,4571913,4588144,4604544,4621164,4637458,4654121,4670419,511222,4686719,4702856,4719351,4735940,4752484,4769083,4785667,4802097,4818736,4834888,51385,528941,4851346,546258,563857,581566,599002,616502,634002,651410,668636,686093,68485,703493,721183,738743,756218,773420,790768,808094,825492,842892,860233,85707,877502,894702,911898,929013,946179,963270,980370,997262,1014257,1031197,103384,1048269,1065268,1082098,1099098,1116268,1133026,1150026,1167203,1184187,1201187,120823,1218005,1235086,1251985,1268808,1285349,1302215,1318745,1335445,1352222,1368654,138598,1385480,1402011,1418624,1435386,1451724,1468186,1484872,1501427,1517816,1534111,155943,1550574,1567425,1584296,1601473,1618671,1636012,1652812,1669712,1686609,1703541
0,17246,173665,1720289,1737154,1753760,1770358,1786746,1803411,1819808,1836776,1853284,1869884,191271,1886673,1903064,1919564,1936061,1952726,1968942,1985146,2001272,2017233,2032989,209069,2048532,2064155,2079754,2095508,2110951,2126707,2141985,2157221,2172573,2187719,227023,2202855,2218055,2233084,2248249,2263089,2278085,2293081,2308080,2323225,2338225,244723,2353189,2367742,2382347,2396945,2411600,2426371,2441257,2456146,2470967,2486053,262652,2500965,2515651,2530682,2545679,2560601,2575852,2590835,2605971,2621765,2637866,280642,2653769,2669776,2686021,2701959,2718151,2734147,2750094,2765792,2781579,2796928,298711,2812074,2827321,2842428,2857629,2872829,2888229,2903290,2918498,2933497,2948549,316724,2963449,2978398,2993199,3008138,3022761,3037909,3052658,3067633,3082458,3097262,334867,3112065,3126901,3141414,3156182,3171309,3186140,3201015,3215854,3230512,3245499,34458,352556,3260855,3276045,3290970,3306221,3321337,3336782,3352091,3367645,3382883,3398277,370414,3413663,3429348,3444788,3460388,3475985,3491732,3507230,3522730,3538047,3553212,387834,3568466,3583466,3598234,3613068,3627964,3643045,3658045,3672867,3687936,3702781,405622,3717830,3732731,3747564,3762770,3777844,3792728,3808560,3824344,3840143,3855958,423319,3871641,3887732,3903297,3918827,3934440,3950058,3965865,3981760,3997748,4013588,440809,4029878,4046259,4062495,4078487,4094537,4110436,4126377,4142254,4158054,4174575,458409,4191340,4208308,4225107,4241906,4258540,4275317,4291987,4308574,4325137,4341798,476017,4358133,4374742,4391139,4407521,4423899,4440128,4456528,4472979,4489479,4506141,493626,4522474,4538953,4555349,4571913,4588144,4604544,4621164,4637458,4654121,4670419,511222,4686719,4702856,4719351,4735940,4752484,4769083,4785667,4802097,4818736,4834888,51385,528941,4851346,546258,563857,581566,599002,616502,634002,651410,668636,686093,68485,703493,721183,738743,756218,773420,790768,808094,825492,842892,860233,85707,877502,894702,911898,929013,946179,963270,980370,997262,1014257,1031197,103384,1048269,1065268,1082098,1099098,1116268,1133026,1150026,1167203,1184187,1201187,120823,1218005,1235086,1251985,1268808,1285349,1302215,1318745,1335445,1352222,1368654,138598,1385480,1402011,1418624,1435386,1451724,1468186,1484872,1501427,1517816,1534111,155943,1550574,1567425,1584296,1601473,1618671,1636012,1652812,1669712,1686609,1703541
0,17246,173665,1720289,1737154,1753760,1770358,1786746,1803411,1819808,1836776,1853284,1869884,191271,1886673,1903064,1919564,1936061,1952726,1968942,1985146,2001272,2017233,2032989,209069,2048532,2064155,2079754,2095508,2110951,2126707,2141985,2157221,2172573,2187719,227023,2202855,2218055,2233084,2248249,2263089,2278085,2293081,2308080,2323225,2338225,244723,2353189,2367742,2382347,2396945,2411600,2426371,2441257,2456146,2470967,2486053,262652,2500965,2515651,2530682,2545679,2560601,2575852,2590835,2605971,2621765,2637866,280642,2653769,2669776,2686021,2701959,2718151,2734147,2750094,2765792,2781579,2796928,298711,2812074,2827321,2842428,2857629,2872829,2888229,2903290,2918498,2933497,2948549,316724,2963449,2978398,2993199,3008138,3022761,3037909,3052658,3067633,3082458,3097262,334867,3112065,3126901,3141414,3156182,3171309,3186140,3201015,3215854,3230512,3245499,34458,352556,3260855,3276045,3290970,3306221,3321337,3336782,3352091,3367645,3382883,3398277,370414,3413663,3429348,3444788,3460388,3475985,3491732,3507230,3522730,3538047,3553212,387834,3568466,3583466,3598234,3613068,3627964,3643045,3658045,3672867,3687936,3702781,405622,3717830,3732731,3747564,3762770,3777844,3792728,3808560,3824344,3840143,3855958,423319,3871641,3887732,3903297,3918827,3934440,3950058,3965865,3981760,3997748,4013588,440809,4029878,4046259,4062495,4078487,4094537,4110436,4126377,4142254,4158054,4174575,458409,4191340,4208308,4225107,4241906,4258540,4275317,4291987,4308574,4325137,4341798,476017,4358133,4374742,4391139,4407521,4423899,4440128,4456528,4472979,4489479,4506141,493626,4522474,4538953,4555349,4571913,4588144,4604544,4621164,4637458,4654121,4670419,511222,4686719,4702856,4719351,4735940,4752484,4769083,4785667,4802097,4818736,4834888,51385,528941,4851346,546258,563857,581566,599002,616502,634002,651410,668636,686093,68485,703493,721183,738743,756218,773420,790768,808094,825492,842892,860233,85707,877502,894702,911898,929013,946179,963270,980370,997262,1014257,1031197,103384,1048269,1065268,1082098,1099098,1116268,1133026,1150026,1167203,1184187,1201187,120823,1218005,1235086,1251985,1268808,1285349,1302215,1318745,1335445,1352222,1368654,138598,1385480,1402011,1418624,1435386,1451724,1468186,1484872,1501427,1517816,1534111,155943,1550574,1567425,1584296,1601473,1618671,1636012,1652812,1669712,1686609,1703541
